Gene,L1 larvae,L2 larvae,"L3 larvae, 12 hr post-molt","L3 larvae, dark blue gut PS(1-2)","L3 larvae, light blue gut PS(3-6)","L3 larvae, clear gut PS (7-9)"
Hop,75.789,69.0846,53.5703,39.9474,65.5122,101.8
Pi3K21B,13.4807,11.0694,11.8994,6.8829,15.174,19.7758
Plc21C,14.1587,7.40363,6.17447,4.89805,9.15513,13.7685
CG11912,19.4664,40.6328,44.086,730.954,1110.1,1463.54
CG11911,199.223,200.267,70.7246,793.038,233.954,60.373
CG33127,116.677,106.413,60.176,77.2187,10.7834,2.75273
CG31920,0.373052,0.0817407,0.309417,3.17726,8.74106,12.2163
CG33992,0,0,0,2.49245,7.85687,11.3153
Ent1,12.4747,11.1385,12.7477,29.1327,41.1586,53.7721
al,9.35108,7.18622,3.24897,3.78794,7.02928,11.223
CG4213,3.98,4.17616,7.00099,8.13064,12.791,15.5183
RpI135,23.7211,10.9251,6.4447,3.1612,3.92562,4.83138
alpha-Adaptin,21.454,21.6361,15.9008,18.9062,31.4431,39.8636
ebi,16.9346,14.7782,10.4082,12.7016,18.9823,21.891
RpLP1,2871.46,2544.74,1989.03,1820.87,1719.36,1781.04
CG11885,25.1299,23.776,13.9482,21.6166,37.9986,53.5407
ex,6.53706,7.17703,4.1196,6.99048,15.7766,20.1802
crq,10.9476,14.7616,15.8651,33.1543,46.5766,70.1227
CG4164,30.3082,62.189,39.3562,24.5649,29.7667,33.6649
MED15,8.95133,8.57646,7.06245,8.98691,14.0341,18.2378
cbt,21.5368,20.4365,16.7309,16.0426,27.1437,46.3795
ush,7.46249,4.60838,5.23711,5.43799,7.28665,10.2389
lwr,76.0412,76.9704,60.7269,73.5634,95.1537,112.804
Spp,95.7926,186.507,129.3,83.0406,75.276,76.6982
nAcRbeta-21C,10.5258,7.37998,11.5776,13.0002,15.0793,11.2651
CG2789,59.8969,74.2993,112.428,149.57,112.757,98.6769
CG11835,0.438376,4.12594,74.5208,48.9614,42.5135,55.4328
CG2794,19.6075,16.261,14.6025,8.89726,10.3331,9.90666
Nle,52.6149,23.8363,14.4931,7.41407,8.29525,8.67053
CG2807,17.0084,15.014,13.0647,12.4887,16.8316,18.2388
Ipk2,7.69595,8.71487,7.60547,10.2908,17.7582,40.7198
CG2813,21.769,17.094,13.5532,18.4858,26.6208,52.4914
ds,2.44702,2.61656,1.80682,3.43281,9.14628,12.1068
Hsp60B,0.0134059,0,0.181976,7.33946,23.7584,29.1305
Eaat2,10.8369,4.1348,1.30676,1.75608,3.10655,4.65862
CG12506,25.6582,0.100215,2.2375,1.53565,1.08536,0.733087
CG13947,87.2015,2.37755,22.1596,28.9809,43.605,23.8624
Pkg21D,10.4129,7.07024,8.49035,4.77726,3.55601,2.14987
KH1,16.0349,13.5859,9.70251,4.86175,4.86412,4.94269
Clp,13.1549,9.62095,7.87453,8.58282,11.2113,11.5507
CG3662,105.511,59.547,62.6894,153.923,199.171,173.879
dock,20.72,12.9284,9.77699,8.79343,19.991,27.2198
drongo,18.4274,22.6649,24.5303,30.4686,65.3862,105.06
kraken,80.9699,70.5688,45.1458,28.8928,23.5723,20.8231
aru,27.7616,20.1091,19.2373,13.7692,15.6857,14.3358
dbe,49.8142,25.6579,14.8351,10.4821,12.4258,15.5553
PNUTS,35.2999,26.6068,27.7203,33.8361,40.9317,47.3456
Lsp1beta,0.0375681,0.119638,2789.27,19691.9,9247.78,1497.23
GluRIIC,10.7588,9.52475,10.6193,6.75659,5.00364,2.58532
CG4341,13.59,4.25699,1.45393,1.09923,2.61725,3.91935
ia2,101.012,42.5651,14.0293,5.44234,14.5947,12.4447
CG4375,0,0,0,6.68253,17.9982,29.6638
CG4415,0,6.39346,10.5744,6.28513,7.20241,5.93819
S,6.93351,4.60027,3.31545,4.10253,8.51588,10.2531
Atg4,13.479,15.9227,14.3057,28.3437,44.3206,61.1342
CG4629,11.6371,7.16808,4.59783,3.81488,4.69472,4.82627
CG4644,17.9508,11.9713,9.19462,3.16059,3.72744,3.56683
Pino,42.8336,45.843,50.9644,40.7925,65.5474,152.196
CG4552,16.9826,17.3476,13.866,17.2317,22.226,23.6822
CG4577,35.7288,15.1268,6.03569,5.06089,8.08604,9.37461
CG4726,181.341,137.294,102.152,103.754,55.1999,33.4358
CG4749,13.5181,12.8296,8.689,3.63921,3.90849,3.5385
CG4764,24.7773,28.7355,23.0428,23.793,30.2571,35.3943
capt,89.8163,98.4967,113.648,110.888,145.156,150.384
Tango14,55.0911,43.7431,34.7141,20.607,19.6046,16.7032
CG5080,16.9069,24.5758,30.5722,23.3118,19.6744,13.7837
CG14341,8.24415,9.2259,8.5509,12.6863,15.6989,17.0255
Plap,17.1274,25.3271,25.0328,23.0384,41.8516,47.2451
CG5118,8.22353,5.85624,5.43462,9.52276,10.0717,16.2284
CG4887,16.1379,11.3842,10.0211,11.2392,17.4541,18.4736
CG4896,8.65218,5.92355,5.52536,10.61,14.0661,14.8624
CG5126,10.5055,15.5118,11.8071,15.8405,16.3679,18.9961
Tgt,17.7707,10.7866,7.52981,2.96187,3.41566,3.40932
CG5001,46.7433,47.8713,57.5995,47.0509,32.1236,54.8493
CG5139,0,0.0155331,0.0665796,2.18417,6.62784,12.0573
CG5011,88.6795,32.6842,56.8682,92.5419,100.099,46.2366
CG5397,7.15136,5.4093,15.4928,16.4904,20.3888,20.4923
robo3,10.3508,2.77992,0.753928,0.92721,2.64708,3.78436
Cdlc2,0.0633136,0,0.785065,11.8691,22.1101,23.8892
CG5561,0.0131442,0,0.0224271,3.05611,6.64673,10.4895
CG5565,0.0284401,0,0.174962,3.39909,5.23081,10.2294
NLaz,3.29019,4.8534,9.57535,3.97733,18.0071,116.889
lea,5.53887,2.73619,1.95551,4.71421,11.1985,14.4222
CG33128,514.268,399.314,417.477,663.465,635.528,322.281
CG18131,0.306095,0.496008,1.47036,4.59248,9.7634,10.2128
CG14351,14.8209,25.0634,19.7764,10.8346,14.1782,10.6728
CG10869,0,0,0,8.48352,21.3007,26.9291
CG31935,3.41633,3.31612,2.59509,5.34245,9.58749,15.0212
RFeSP,410.429,383.292,362.403,182.376,100.929,66.0696
chinmo,35.5792,14.2494,9.81561,3.5523,7.76979,5.87928
cpb,27.6408,43.943,31.7175,45.4685,61.7173,75.2459
CG17660,27.8651,24.4668,22.6383,27.948,31.6979,34.1962
mRpL48,77.1739,89.8313,59.8796,15.9762,15.0971,17.8102
CG18317,15.9902,11.7725,13.721,13.817,18.935,27.6166
Eno,1091.11,1268.34,1401.28,970.046,508.768,217.501
CG31937,45.0094,64.0359,73.2517,55.7624,32.4468,26.408
CG17646,16.2172,14.0232,16.63,7.03809,9.76474,19.3159
CG17712,9.3262,9.98776,5.90312,9.05014,13.0976,16.4936
CG31664,13.6981,9.92457,7.1669,1.77124,0.365469,0.0958964
c-cup,0.0152556,0,0.156179,3.23175,7.45415,11.1166
CG31665,21.1978,6.25883,1.50733,0.906935,1.93712,2.44736
CG31663,17.7545,7.9327,6.01011,4.59563,4.52185,4.23942
CG7337,19.1996,12.9981,14.3763,8.39651,16.4407,21.4432
CG10908,40.3847,56.9114,49.1404,35.0635,48.337,54.878
CG7289,17.4916,19.0815,16.1078,14.8403,18.9647,22.6859
Got2,369.494,323.579,457.408,234.357,140.185,93.1957
CG15353,4.0897,0.720314,290.141,323.769,304.421,226.909
Nplp4,515.645,47.1287,760.572,453.872,144.853,64.0145
CG4238,6.90493,2.53998,1.409,2.51463,5.8295,10.628
lectin-22C,0.398341,11.0276,17.6713,23.6376,1.03918,0.0440533
Su(dx),21.0755,21.1832,15.6496,13.2389,17.6707,24.09
CG4259,4.5493,6.60445,11.998,9.35018,8.39554,5.79588
GlyP,546.124,600.008,542.747,438.684,282.365,81.93
tho2,12.4471,13.2917,11.6381,11.6896,17.8245,18.8883
CG7261,5.22714,6.59052,6.2604,8.30527,11.8594,13.8215
aop,10.773,7.928,6.34247,5.02006,13.1535,35.8033
CG10874,10.5137,8.37003,8.55987,14.3776,23.208,34.4593
Uch,12.8861,45.5864,37.7311,93.4986,163.731,249.844
CG15386,32.6475,50.5145,36.34,0,28.5949,29.5999
CG42371,0,0,0,29.9955,0,0
mio,9.94828,7.44168,7.58265,10.0748,12.3774,10.8528
CG7082,30.0146,16.6713,24.5268,25.0893,20.7003,18.8633
CG15387,2.08451,3.55422,2.18223,6.09142,9.88467,15.6953
l(2)s5379,43.5423,57.7071,44.2451,47.2199,67.1339,88.1966
CG10882,38.0362,62.507,42.1319,26.8036,37.042,35.147
CG4267,21.1126,10.2246,25.8787,28.2464,32.6231,38.7692
CG17237,0,0,0.139657,5.44143,10.6904,13.6614
CG16995,0.0672201,0.410293,4.24367,14.3557,9.41899,12.784
Rab5,52.4735,62.0962,48.1821,73.8412,124.761,199.99
CG4272,6.73096,5.60866,4.86086,4.86755,8.55915,10.2432
CG3597,0.453251,0.589594,5.90629,19.2763,6.7904,4.12303
CG3609,469.755,392.331,384.972,67.3698,35.372,23.7539
CG9866,7.9257,6.19681,5.95535,7.32201,13.3233,14.2298
CG9867,9.62632,7.56536,10.2639,15.7884,15.7267,17.0372
VGlut,15.5957,6.17764,1.86296,0.832773,2.30736,2.83031
CG18641,1.21197,14.2915,5.96062,0.943672,1.93812,2.81908
CG31948,0.01101,0.00876242,0.0759018,14.162,36.4543,55.2413
Slh,24.7228,34.9742,25.1209,18.4861,22.7546,25.9946
oaf,14.2327,7.09337,6.16914,9.12226,14.9831,17.6533
Cyp309a1,18.8171,16.1388,21.9172,15.7703,38.3758,72.1526
CG3214,173.654,163.013,161.585,112.019,61.7291,52.6309
p16-ARC,38.1982,41.318,29.5961,46.2299,51.9139,58.2696
Drp1,36.8184,41.1341,38.4783,27.4281,36.956,41.528
CG31689,19.5582,21.9062,26.6312,8.42958,9.4182,19.1536
Hrs,13.7711,12.6768,13.3663,23.5269,65.4081,112.836
Pgk,325.583,326.891,319.525,228.145,151.021,89.9393
CG9894,126.342,137.604,94.2033,114.359,175.225,165.491
CG9960,20.6393,19.8906,16.5216,14.3302,19.0392,19.6461
CG3077,2.92861,4.11478,4.17483,4.97791,11.0777,18.0087
aph-1,11.7587,13.273,9.54307,19.4701,26.9621,37.4005
Taf10b,23.8136,23.2085,21.0104,26.8984,35.0659,40.9046
Taf10,28.3942,26.0833,21.4742,30.126,37.2229,42.457
colt,63.9798,103.239,118.18,58.4144,34.7964,31.269
CG2862,81.3721,137.092,130.71,118.429,105.672,100.087
daw,22.8478,15.2128,7.71178,17.3287,27.7385,24.1934
Duox,10.2236,17.154,10.1961,5.58824,9.81297,14.6433
Cpr23B,0.727042,61.186,24.0402,0,0.0388883,0.0457477
CG3117,0.0523368,0.0166669,0.0535795,11.4476,15.1,7.65293
CG3104,11.8641,5.15472,3.89106,1.34603,1.76857,1.70754
oho23B,2695.15,2202.34,1784.76,1670.67,1444.5,1542.88
CG2991,19.6613,14.9504,17.806,17.6702,22.0609,30.5334
CG31694,49.5714,45.5201,40.3791,47.6124,64.1445,93.6348
CG8813,0,0,0,0,11.7016,16.5012
CG8814,17.1749,20.419,18.8583,34.4364,29.0618,25.653
Prx6005,10.5316,20.7497,13.886,13.302,11.5265,15.1923
CG31950,19.2196,26.1972,19.5439,18.6515,23.0287,23.417
betaggt-II,29.2784,26.0505,18.6005,14.4482,15.3356,15.1012
NTPase,79.761,101.273,73.6685,60.9477,44.1531,39.3882
lilli,9.40408,8.2432,7.77991,6.08297,15.4989,16.964
Rbp9,18.1755,12.8175,29.7615,29.4,33.4899,26.382
Ts,6.94297,13.4625,8.51171,11.6977,12.4446,10.9914
Rrp1,2.4396,5.30734,6.71988,16.4345,22.6308,26.0363
gammaTub23C,5.65667,7.06063,6.31403,12.7894,18.1638,23.5737
CG9641,3.99819,2.93899,4.22813,12.2933,16.6985,19.8085
CG3165,3.39262,4.67297,4.17936,6.42997,8.42695,12.5485
CG9643,30.2266,22.3483,14.6743,11.5144,12.5422,14.9851
Chd1,20.7682,13.8084,13.0698,10.0761,15.3518,15.973
Bem46,8.3323,9.38421,7.81459,8.68414,9.51814,11.6364
CG3558,26.0187,21.7955,19.8871,20.7751,32.7944,31.3134
CG17265,12.4491,10.596,3.07609,3.43985,5.43765,6.52221
CG17224,11.2288,11.4068,31.1354,58.0131,46.8008,45.9327
alpha4GT1,5.44381,5.26208,6.51929,10.4304,15.9048,30.7568
CG3542,8.4486,10.1343,7.84273,7.02459,9.70894,12.3
CG3605,20.8227,19.4285,15.2492,16.402,21.0648,25.3452
CG17259,136.777,149.796,109.457,59.0617,65.7629,62.8507
CG17221,10.0323,12.0656,12.0036,7.1598,5.40051,6.89679
CG17261,0.605653,0.55316,1.16434,10.2683,21.6311,29.7192
CG3523,179.579,239.624,342.115,120.905,37.425,9.74939
toc,19.4797,15.5292,8.39781,9.90353,17.9401,18.2559
CG12400,127.613,159.252,143.629,79.9927,44.4882,39.1256
Mad,11.0487,10.2291,11.6821,13.1439,25.7209,30.7232
CG31698,0,0,0.0444065,90.4096,231.767,244.58
CG15404,0.0309058,0,0,98.6319,249,278.671
CG3332,36.1816,20.2555,12.7231,23.1643,18.8901,17.6093
CG9664,1.27517,3.44753,2.76876,17.1526,27.5112,33.1542
CG9663,9.31716,7.53534,4.34325,7.13788,13.2046,18.2373
CG15406,25.585,22.3745,16.2334,24.0682,34.116,35.5228
CG8837,11.0242,10.9265,7.7041,2.36401,1.32233,1.41615
CG33281,63.4755,75.0164,86.3687,37.7698,12.0231,4.0131
CG3285,17.8042,22.5234,24.3895,8.87153,6.32857,11.2262
CG15408,9.33674,9.60311,14.0869,9.29717,9.13974,6.51244
E23,8.44726,8.64654,2.21222,3.13176,27.4747,75.8035
CG8838,0.0920232,0.280843,0.601886,4.04148,9.68273,15.6353
CG34394,13.5131,8.88647,8.33353,5.184,11.3135,12.3162
CG9662,6.00503,13.3969,11.9123,14.8415,18.1383,20.8871
Ptpa,11.1705,12.3488,10.239,10.271,12.1645,12.8963
CG42460,0,0,0,13.2084,47.6252,95.9161
pgant2,13.5089,25.8408,14.495,6.55607,8.03223,7.65983
CG8840,0,0,0,3.68376,9.12386,13.3647
CG2772,18.1571,15.0902,13.6368,36.0085,7.03341,1.28505
CG2774,12.9478,16.3669,17.6613,32.9553,55.8553,80.9452
CG12795,9.69159,11.4641,8.40401,15.342,31.3982,55.0295
sec5,9.09229,9.72008,9.667,10.0557,11.8185,13.1783
CG3246,102.961,90.7127,116.347,35.1102,24.2085,22.872
Pdsw,379.325,330.675,314.524,168.969,101.846,84.325
pgant4,11.4103,15.1526,16.0768,5.24496,3.92291,3.75386
Thor,94.2661,67.9892,160.152,260.989,559.884,557.971
CG15414,2.14147,3.95935,80.769,15.2904,25.3131,13.4974
CG33123,36.4543,40.3512,28.5511,11.3155,13.0197,15.5407
CG17593,49.6445,79.013,51.348,27.7349,28.6868,32.9312
CG3213,0.011827,0.00941597,0.837461,14.7576,41.0576,46.8392
CG8852,12.2071,7.45731,7.7482,5.93337,3.2946,2.14168
drm,20.9711,21.4965,14.7732,14.6053,22.6356,35.1612
for,26.4976,35.5519,34.4528,25.4074,43.1677,78.9301
CG16704,16.6479,24.3035,208.287,425.201,314.23,125.244
CG16713,18.4869,16.5476,58.5168,55.0793,42.6926,20.5348
CG16712,323.739,296.787,929.857,217.17,36.8271,11.0152
CG3604,48.2706,67.8498,162.59,36.2445,16.0045,5.16994
CG10031,7.01553,10.7552,12.3329,8.85397,5.8758,1.76332
CG2816,5.15325,3.28849,16.085,6.09297,6.58339,3.64379
CG31778,2.62444,4.18733,10.6416,76.79,109.116,120.789
CG31777,32.6533,19.9296,32.4869,8.46785,16.9317,33.0952
CG2818,11.0166,12.3358,9.91718,15.8973,22.8269,36.4671
Shaw,16.9425,6.21792,1.44071,0.817584,1.70347,2.48571
bowl,19.9757,13.7204,11.4079,16.6038,30.4167,38.5772
CG3921,5.54285,5.46714,3.91689,5.02268,10.7081,15.6048
CG3964,0.639579,0.723152,0.873536,7.72468,17.7868,19.6353
capu,5.04709,4.26869,4.89283,9.22868,18.0895,22.126
CG34176,76.1332,48.7081,49.8581,58.3938,54.6602,16.1301
CG15422,64.9608,42.9141,29.993,44.1603,47.2218,33.0144
CG15423,165.406,108.974,97.5699,151.193,135.465,89.01
CG10039,49.9525,28.0789,21.1933,41.7292,57.4781,48.3519
ed,19.1006,14.2807,7.89794,9.38065,30.5733,37.5819
Sr-CI,12.399,11.4069,15.012,18.4318,13.5213,4.09084
CG2955,0,0,0.0889745,4.24676,15.3918,23.3719
CG31961,7.35587,6.28564,5.58499,6.20272,8.99082,12.8332
lectin-24Db,0.221948,1.47251,1.8514,4.16233,8.47304,10.1701
CG3714,32.2407,30.7666,27.0792,35.2409,57.6502,69.2691
ft,5.20657,3.1951,2.62354,2.85796,8.61125,10.1749
CG3702,65.5638,69.1881,43.5085,32.7918,39.1436,44.0921
RpL40,2545.13,2150.39,1559.48,1369.62,1299.42,1522.65
CG15425,0,0,0.0278996,3.57655,7.5838,11.1792
tutl,33.8716,10.8394,3.82365,3.41892,9.87988,11.8344
Atet,23.1397,13.4635,7.3776,9.1565,26.4289,63.1037
Traf4,6.07656,3.12026,2.64039,3.2152,7.61224,17.0427
Tps1,102.555,112.827,157.422,77.5865,52.8477,21.2153
CG3652,16.3838,22.1163,19.0069,23.3847,23.0703,23.833
l(2)k05819,14.9595,14.1077,12.8126,15.9743,20.7198,21.7212
CG33003,0.550765,19.7535,2.44941,0.0123027,0.011072,0.122547
Dim1,14.6432,17.534,13.1732,16.5713,17.4835,26.2072
CG15432,7.59916,10.3652,8.23306,13.2764,16.0631,17.4077
morgue,7.52619,6.23241,5.86888,7.37248,9.91464,12.7864
Elp3,38.8455,17.7839,13.4502,7.56672,9.16811,10.0571
CG15438,19.0791,26.4107,18.6487,18.2107,14.7188,13.3616
CG15440,13.8112,12.3997,10.9833,15.9274,22.0047,23.2378
Gs1l,176.89,108.182,81.2821,27.7749,15.6253,12.7659
RpL27A,3729.22,2992.63,2585.15,2061.13,2108.91,1906.83
mRpL27,66.1276,59.0517,41.2109,19.261,15.7807,17.9054
ine,115.1,43.2457,45.7691,17.2761,6.9706,3.31777
CG3355,10.3167,631.779,131.461,2.92675,5.55372,9.54806
CG3244,556.294,361.38,1150.22,183.208,197.481,223.438
CG15629,13.8535,44.8144,14.0926,4.02255,1.91875,3.2146
CG2976,32.4623,28.777,26.2833,31.8578,33.1998,40.3608
CG15626,15.3271,11.86,13.2567,18.0972,24.2221,24.1025
CG12194,17.6496,8.47628,4.32347,16.3841,17.4421,13.4407
CG2950,33.9304,33.3643,37.1211,40.4729,52.6331,44.5436
CG11927,5.7495,5.66049,4.83822,8.41427,13.464,15.2183
mRpS2,60.9694,55.2986,39.9498,13.1781,12.0737,12.2364
CG11926,8.08491,10.801,9.82392,10.7851,12.228,14.6712
CG31660,10.488,3.97046,1.98364,1.46771,2.52402,2.8428
Cf2,8.23854,6.79592,11.3748,10.9332,20.4352,19.1903
CG3008,20.0776,18.8584,18.9032,17.856,24.6598,26.7939
CG3036,41.0821,38.1227,60.9921,66.5615,73.6218,96.7091
CG2837,2.812,19.871,12.4542,1.535,2.37123,5.46246
hoe1,28.4468,9.68401,5.8104,10.5882,8.88162,3.63043
Sgs1,0.0543193,0.0115322,0.0432515,153.083,235.934,106.472
mRpL24,51.3904,55.092,37.3776,18.8042,14.6969,16.7119
betaggt-I,20.5145,17.5535,15.2875,14.9779,14.9387,20.9499
Jon25Biii,1785.41,2959.65,4161.26,8107.14,4814.97,1479.5
Jon25Bii,1631.65,2047.68,1512.73,2281.33,1275.71,503.72
Jon25Bi,2871.31,2569.71,1984.56,1791.03,851.39,293.928
CG34125,12.4464,12.2837,10.766,21.0924,27.3993,32.2512
Trip1,329.423,266.766,186.405,183.066,196.678,223.536
CG8885,32.8092,48.0669,41.3748,16.9709,15.1354,16.2062
CG3756,61.6198,25.7305,15.5683,8.91304,10.7668,12.5765
l(2)05714,7.2262,10.7546,6.91729,9.58258,12.5625,15.5644
CG14043,18.5614,18.656,15.0828,15.8968,20.0802,21.5074
mRpL28,88.2517,91.5479,74.6208,45.6002,38.4029,38.3918
Gmd,12.5812,17.9351,14.4687,17.7421,18.5404,21.99
CG3792,57.0457,80.0663,57.818,35.1989,29.9205,31.1479
CG8891,30.7194,33.6511,27.563,20.0856,19.7403,20.8474
CG8892,7.55787,8.15874,6.41706,8.3127,14.5044,16.185
CG34126,8.72513,7.26357,7.31406,8.89742,16.3643,17.2065
Rtnl1,164.467,341.878,327.331,246.977,198.214,221.221
CG31917,0,0,28.9406,29.5667,0,0
CG3887,51.5456,71.2115,62.0685,66.4019,71.2821,102.386
vkg,393.574,406.305,475.477,54.379,31.4965,11.8769
Cg25C,582.748,629.149,696.985,88.0968,56.5534,22.213
CG14042,11.8156,3.27557,1.23997,2.08581,5.60675,7.66746
CG31650,29.6863,26.1094,15.5788,16.23,24.6598,36.4722
CG31919,21.4839,29.5365,25.3337,23.0279,45.2387,104.672
CG33995,17.9582,21.0623,22.5891,24.0308,35.1947,61.9285
eIF-3p40,240.346,198.647,154.461,148.964,158.923,163.521
CG14040,6.20233,7.70484,7.23958,9.72735,10.337,13.8983
CG31918,3.60603,7.84358,6.13791,9.59121,10.1798,11.4961
Rpn11,55.0727,93.7102,69.0067,115.883,210.166,269.833
qtc,27.8437,12.8352,8.81177,10.7148,15.9043,18.2868
pgant5,17.2987,23.4407,13.4352,12.9077,23.7129,34.7639
CG5828,14.9883,16.5914,17.9009,29.7303,40.7589,47.1439
CG4230,16.5154,9.228,6.35734,8.9261,12.0155,15.4519
CG8680,129.887,120.419,111.95,60.6442,44.8673,47.1415
Msp-300,88.4145,54.344,97.9929,39.7491,57.1197,40.4524
snmRNA:158,81.4192,52.8031,70.2856,55.6806,57.1746,52.0811
Cyp28d2,15.5187,25.1953,12.3387,3.16698,1.32874,1.52883
Cyp28d1,31.9662,20.2286,44.9044,17.837,23.8439,14.5658
CG7742,0.775857,0.447862,0.731052,4.2655,9.1236,11.714
TpnC25D,85.6036,53.9816,122.616,77.6614,18.6206,5.80389
tkv,19.6208,13.7002,12.5137,21.7785,45.1292,66.3497
CG14033,0,4.85568,15.2426,8.16819,5.71069,5.29998
Cyp4ac1,11.2174,17.5167,28.9106,35.8614,18.0711,8.80389
Cyp4ac3,2.30782,2.27006,1.58364,14.2283,13.0741,10.6298
Bsg25D,6.98358,6.09693,5.53102,5.64165,11.3405,10.9205
vri,1.3356,15.294,3.06816,14.3772,46.6513,53.8058
CG14023,10.0596,5.42883,5.52939,3.35459,9.85925,9.88058
cype,532.841,496.744,476.658,308.283,161.159,143.653
CG12512,47.2985,40.7986,42.0547,11.7739,2.32799,0.38606
CG7382,24.5454,26.8691,28.324,31.2456,29.2426,33.6197
cl,128.538,128.264,146.973,118.307,140.622,154.425
CG7371,6.80246,8.21933,7.04725,9.56145,11.6596,18.191
CG6907,27.7108,30.1648,24.1019,25.6143,32.2413,35.4435
CG31648,20.5228,23.3707,18.1386,11.1182,10.7111,10.9398
CG31915,8.48339,10.6096,9.33773,7.24935,7.09207,10.7931
CG7277,34.2178,34.0955,33.7449,24.8591,28.527,27.4585
Hel25E,89.1732,131.704,83.9381,68.1582,92.3206,103.67
Lam,67.1474,49.6116,27.0812,34.3041,64.7306,72.9168
Oscillin,25.7852,32.8395,25.3421,79.3023,109.813,139.916
CG7251,0.0112209,0,0.0191455,3.86509,10.2692,14.3738
CG18266,0.0953899,0,0.122069,5.22982,13.2922,16.4781
Hsp60C,0,0.15644,0.877479,14.8706,42.8165,42.243
CG11030,36.625,23.0026,16.7503,10.4515,16.1988,18.2663
CG11147,0,20.1585,12.3405,2.28766,2.03036,2.82031
CG11029,0,0,3.16773,10.9156,5.69343,3.16712
obst-E,192.135,70.6482,440.196,175.144,52.7414,12.085
CG9171,13.8218,13.7719,9.95965,3.81387,9.01777,20.9297
CG7239,7.66614,5.57891,6.51306,8.02306,10.7466,10.3107
CG11034,2.41676,2.0517,1.45167,1.36975,3.06024,10.1026
CG31644,0,0,0.214169,2.87635,5.9256,10.1033
CG9021,0.131861,0.822559,0.493318,32.842,368.833,951.412
bchs,4.96429,2.76002,1.93372,2.09159,9.21647,16.9558
CG9016,1.74012,0.466852,0.572347,22.3514,65.4812,69.8691
Gpdh,339.276,442.868,398.031,152.018,59.3685,27.2474
CG9044,6.53126,6.52769,8.01219,12.688,21.3058,28.1147
chic,174.786,270.409,239.296,368.176,582.254,794.584
eIF-4a,1446.87,1008.3,864.431,802.624,953.02,1157.75
ifc,27.1363,36.3268,40.6621,33.1737,26.8857,26.6413
lid,23.2785,13.5324,13.1433,9.76436,22.141,23.0559
Gal,12.1178,9.81526,14.6609,12.6025,30.1524,48.4474
CG9107,50.4099,20.5777,13.0327,9.98686,14.5449,16.447
mtm,21.0799,20.1999,16.2936,20.7173,27.4562,31.7241
ade2,32.0234,18.0859,27.3306,17.8644,56.9162,60.1943
slmo,287.251,212.012,164.835,104.527,77.9753,71.7495
CG12393,14.6923,13.4806,10.3715,11.6799,16.5241,18.6594
CG9135,13.811,16.7116,12.8443,31.0887,53.2968,67.2196
CG13995,18.2252,4.47809,1.27125,0.662747,1.35255,1.7231
CG9140,240.306,226.637,206.974,102.063,62.4107,53.6191
CG13994,9.54351,12.4197,9.27504,13.3552,16.0422,19.7672
CG9147,5.11793,5.90003,4.53765,7.26287,9.75011,11.1978
CG13993,69.6175,86.1269,68.2641,46.1468,45.2998,61.78
CG9154,21.8553,16.9918,11.4205,10.7784,12.5817,14.262
Kr-h2,112.48,134.185,73.9047,63.1141,81.3296,99.9752
