Gene,L1 larvae,L2 larvae,"L3 larvae, 12 hr post-molt","L3 larvae, dark blue gut PS(1-2)","L3 larvae, light blue gut PS(3-6)","L3 larvae, clear gut PS (7-9)"
colt,64.6127,103.957,118.512,58.7564,35.1298,31.6826
CG2862,86.5955,145.648,138.23,125.735,112.526,106.21
daw,25.9773,17.2788,8.71972,19.454,31.2776,26.8539
Duox,10.2919,17.2711,10.267,5.62708,9.88117,14.7451
Cpr23B,0.782443,65.7839,25.8491,0,0.0418516,0.0492336
CG3117,0.0686795,0.0218714,0.0468735,13.3662,17.6206,9.1403
CG3104,11.4966,4.85088,3.80723,1.22234,1.67037,1.62471
oho23B,3066.95,2479.42,2054.53,1878.31,1649.89,1742.51
CG2991,18.7033,14.4579,17.2511,17.1174,21.4042,30.0692
CG31694,52.5291,48.2093,42.7731,50.4326,67.9496,99.1586
CG8813,0,0,0,0,11.7016,16.5012
CG8814,17.8897,21.2371,19.6406,35.8755,30.2814,26.7281
Prx6005,11.1877,21.6223,14.4272,14.0084,12.1898,15.9706
CG31950,18.2584,26.1402,17.3148,19.4344,22.4872,21.7349
betaggt-II,30.7998,27.3731,19.5606,15.1907,16.1078,15.8983
NTPase,76.4457,99.0918,71.8311,59.4783,41.276,39.3513
lilli,9.09788,8.08297,6.91951,6.14524,15.2853,16.6149
Rbp9,16.3103,11.6406,27.3204,26.851,30.8743,24.6156
Ts,6.94274,13.462,8.51143,11.6968,12.4428,10.9887
Rrp1,2.45547,5.34219,6.76382,16.5315,22.7763,26.206
gammaTub23C,5.62294,7.14093,6.29856,12.8754,18.1266,23.7528
CG9641,4.2558,3.0749,4.52917,13.3117,17.6833,20.5859
CG3165,3.76174,5.1761,4.61905,7.09667,9.326,13.8609
CG9643,30.2361,22.3564,14.6808,11.5257,12.5422,15.0402
Chd1,21.4762,14.3038,13.4403,10.3693,15.6713,16.1356
Bem46,8.9689,10.0832,8.42669,9.30681,10.2135,12.5495
CG3558,24.6188,20.9826,19.0952,19.8996,31.4381,30.1853
CG17265,12.4593,10.6047,3.07862,3.44268,5.44213,6.51322
CG17224,9.86239,9.99585,27.5674,50.9491,42.2037,41.2421
alpha4GT1,5.57963,5.39341,6.69557,10.6622,16.2764,31.525
CG3542,8.54976,10.2038,7.91421,7.04442,9.74236,12.3637
CG3605,21.171,19.741,15.5128,16.6652,21.4199,25.7691
CG17259,136.671,149.857,109.409,59.0529,65.744,62.8954
CG17221,10.9159,12.9992,12.8765,9.2195,7.44392,7.46694
CG17261,0.665884,0.66267,1.17674,12.3694,26.7815,34.4563
CG3523,164.25,218.107,313.511,119.196,36.9749,9.58746
toc,19.4998,15.6328,7.99307,9.57627,17.8208,18.4527
CG12400,202.164,255.01,228.279,127.883,71.3163,61.2282
Mad,11.9719,10.9552,12.6316,14.1971,27.7085,32.998
CG31698,0,0,0.0499347,99.4469,251.903,271.289
CG15404,0.0388626,0,0,102.874,257.706,281.533
CG3332,36.1275,20.2189,12.7019,23.1265,18.7565,17.3497
CG9664,1.33106,3.59812,2.87906,17.8722,28.6699,34.5342
CG9663,9.5477,7.74675,4.47634,7.59253,13.2549,18.3285
CG15406,27.297,23.7205,17.1038,25.4472,36.3087,37.5684
CG8837,11.2421,11.3307,7.66932,2.32072,1.40361,1.5076
CG33281,67.1386,78.4188,90.6273,39.3545,12.5966,4.13
CG3285,17.5508,22.1308,23.7528,8.55518,6.1282,11.0225
CG15408,9.01769,9.27365,13.2731,8.77913,8.79603,6.07653
E23,8.50536,8.72254,2.25453,3.22584,27.6211,76.0898
CG8838,0.0920232,0.280843,0.601886,4.04148,9.68273,15.6353
CG34394,10.0482,7.50826,6.61347,4.5489,9.22616,11.0422
CG9662,8.8902,19.2333,16.0262,20.7702,25.6317,28.025
Ptpa,11.9347,12.911,10.7744,10.6435,12.642,13.6861
CG42460,0,0,0,13.4298,48.382,97.3612
pgant2,13.7514,26.3211,14.7644,6.67791,8.18151,7.79173
CG8840,0,0,0,3.7089,9.18614,13.456
CG2772,19.5071,16.2231,14.6808,38.7396,7.548,1.37209
CG2774,13.4976,16.9139,18.354,34.0282,57.7578,83.1076
CG12795,11.9914,14.7017,10.8102,19.8808,42.1871,78.9166
Cog3,6.3219,9.55445,7.51275,8.61555,9.65636,10.0425
sec5,9.17852,9.79132,9.74968,10.1437,11.9237,13.283
CG3246,106.209,93.6204,120.015,36.2622,25.028,23.6469
Pdsw,459.974,401.912,381.43,205.202,123.244,102.069
pgant4,11.9022,15.8058,16.7936,5.47086,4.09799,3.92999
Thor,119.224,85.9818,202.193,329.774,709.219,702.241
CG15414,2.2046,4.05675,82.9498,15.6354,25.938,13.903
CG33123,38.3303,42.442,30.038,11.9222,13.6833,16.2625
CG17593,53.6456,85.3747,55.4104,29.8717,30.9995,35.4672
CG3213,0.0118027,0.00939659,0.835738,14.7578,40.9914,46.7644
CG8852,12.736,7.77938,8.08679,6.19371,3.44472,2.2751
drm,20.7845,22.1275,14.8224,14.9591,23.5142,36.737
for,25.9631,34.7788,33.9276,24.7859,42.4687,77.8292
CG16704,20.8699,30.434,261.109,532.962,393.727,156.855
CG16713,46.9157,41.6856,146.581,135.152,103.531,50.5047
CG16712,591.081,541.922,1696.47,396.122,66.548,19.3246
CG3604,48.2706,67.8498,162.59,36.2445,16.0045,5.16994
CG10031,8.98757,13.6963,15.8022,11.3199,7.56918,2.21093
CG2816,6.06297,3.80198,18.7509,7.23628,7.77553,4.23463
CG31778,2.88931,4.57811,11.5984,85.1688,120.902,133.522
CG31777,49.6736,30.2782,49.7558,12.7945,25.4546,50.4919
CG2818,11.0022,12.232,9.80531,15.7365,22.6352,36.34
Shaw,17.3508,6.33897,2.3339,1.09756,2.46792,3.26986
bowl,19.0997,13.3191,11.1232,16.04,29.4972,37.9916
CG3921,5.80024,5.64492,4.07538,5.13087,11.1625,16.1332
CG3964,0.625468,0.704578,0.852007,7.54059,17.3384,19.1742
CG31957,13.5366,10.6759,7.86729,7.28552,10.105,13.7914
capu,5.38652,4.32649,5.31647,10.1079,19.1926,23.8249
CG34176,76.1332,48.7081,49.8581,58.3938,54.6602,16.1301
CG15422,50.3959,25.4433,29.75,34.1066,45.9006,19.3281
CG15423,177.961,116.617,104.418,161.685,145.368,95.435
CG10039,53.906,30.5409,22.8115,44.9641,62.0321,52.02
ed,18.0275,13.5954,7.48757,8.96092,28.9807,35.783
Sr-CI,13.4722,12.4338,16.4605,20.1764,14.7455,4.36986
CG2955,0,0,0.0889745,4.24676,15.3918,23.3719
CG31961,7.68188,6.55841,5.83202,6.47254,9.37872,13.3809
lectin-24Db,0.221948,1.47251,1.8514,4.16233,8.47304,10.1701
CG3714,34.6918,33.1217,29.0834,37.8892,62.0448,74.5182
ft,5.20949,3.19384,2.62125,2.8534,8.6085,10.1657
CG3702,68.9351,72.7373,45.7445,34.4666,41.1925,46.3706
RpL40,3009.85,2542.79,1843.85,1620.07,1537.14,1800.97
CG15425,0,0,0.0351047,4.25215,9.0636,13.0651
tutl,33.9427,10.0987,3.39885,3.20901,9.38982,10.8516
Atet,22.7051,13.1773,7.42491,8.82796,26.1503,64.0691
Traf4,4.92079,2.42721,2.43514,2.99195,5.93545,13.6218
Tps1,105.515,116.085,161.971,79.8266,54.3706,21.8279
CG3652,17.7431,24.0126,20.5021,24.9585,25.2181,25.4932
l(2)k05819,14.8539,14.0076,12.5117,15.2318,20.6589,21.2931
CG33003,0.546151,19.5248,2.47536,0,0.0114528,0.11739
Dim1,19.033,22.0562,16.7049,21.0055,22.1702,33.0356
CG15432,8.18607,10.6529,8.57901,13.8297,16.8554,18.7187
morgue,7.75361,6.4491,6.02175,7.58345,10.1785,13.0722
Elp3,39.0619,17.8815,13.5291,7.58645,9.2206,10.1016
CG15438,19.844,27.4602,19.3778,18.9192,15.3018,13.8943
CG15440,14.6084,13.1062,11.5974,16.8468,23.2749,24.5082
Gs1l,181.919,111.029,85.2726,29.3526,16.4712,13.4387
RpL27A,3896.36,3125.31,2720.02,2154.44,2206.98,1990.99
mRpL27,100.038,93.9085,58.4415,27.9554,23.471,24.5152
ine,114.433,42.9748,45.5199,17.2167,7.11243,3.12838
dp,8.07479,9.49846,16.4777,3.3199,9.03616,4.93791
CG3355,11.469,705.187,146.265,3.27082,6.21078,10.5971
CG15630,11.213,3.78121,1.96885,0.892869,2.65892,4.73001
CG3244,562.815,362.668,1167.21,186.121,200.626,224.577
CG15629,15.4686,49.2149,15.468,4.50558,2.15559,3.6612
CG15628,2.84211,1.6236,0.926975,2.33223,6.57198,10.6239
CG2976,43.498,38.9426,35.9539,42.7105,45.4484,54.6101
CG15626,16.0746,12.4143,13.864,18.8434,25.3702,25.2046
CG12194,17.3824,8.36835,4.60954,17.2038,17.6896,14.0758
CG2950,33.1881,32.078,40.4887,43.768,52.4065,41.1867
CG11927,5.82238,5.77406,4.8296,8.43051,13.5087,15.2755
mRpS2,73.8557,66.8428,48.3311,15.8667,14.5086,14.5702
CG11926,9.14155,12.2107,11.1041,12.1916,13.814,16.5932
CG31660,10.2876,3.90254,1.96125,1.43194,2.47689,2.83975
Cf2,8.28502,6.83961,11.4798,11.0909,20.6143,20.2008
CG3008,20.1124,18.8928,18.9397,17.8879,24.7105,26.8684
CG3036,39.7144,38.3561,58.9008,63.7003,70.4913,93.5117
CG2837,2.69342,21.0747,11.8919,1.5738,2.6038,5.40622
hoe1,26.2042,9.03284,5.27569,10.6524,8.41522,3.66536
Sgs1,0.054443,0.0115585,0.04335,153.432,236.471,106.711
mRpL24,66.345,71.1018,48.3283,24.2853,18.954,21.4663
betaggt-I,21.2434,18.2148,15.8295,15.5036,15.4666,21.7666
Jon25Biii,1785.41,2959.65,4161.26,8107.14,4814.97,1479.5
Jon25Bii,1631.65,2047.68,1512.73,2281.33,1275.71,503.72
Jon25Bi,2871.31,2569.72,1984.56,1791.03,851.39,293.928
CG34125,14.8552,14.3302,12.6796,25.0297,32.6151,38.2227
Trip1,340.303,275.512,192.492,189.017,203.069,230.794
CG8885,32.4974,47.6209,41.0048,16.8096,14.9915,16.0522
CG3756,65.8399,27.3308,16.4372,9.48592,11.503,13.3576
l(2)05714,7.96591,11.3012,7.30471,9.89879,13.0567,16.16
CG14043,18.5614,18.656,15.0828,15.8968,20.0802,21.5074
mRpL28,97.337,101.826,84.1613,51.8765,43.1359,42.191
Gmd,14.5062,20.816,16.6684,20.5234,21.7152,25.3829
CG3792,62.8083,87.9792,63.3353,38.6333,32.6849,34.1266
CG8891,34.0958,37.1786,30.6507,22.2993,21.8884,23.1263
CG8892,7.71511,8.03588,6.71684,8.7395,14.1924,15.8244
CG34126,8.46764,7.18299,7.15541,8.76573,16.07,17.036
Rtnl1,174.782,363.14,349.731,259.987,203.394,224.26
CG31917,20.7883,32.9364,29.0447,29.673,32.0859,38.0278
CG3887,62.5813,87.2151,73.5852,81.3071,86.5991,123.722
vkg,399.554,412.144,482.289,55.2637,32.0213,12.1343
Cg25C,611.184,658.903,731.127,92.3051,59.1853,23.1374
CG14042,11.068,3.3966,1.0305,2.09466,3.99262,4.97978
CG31650,29.5985,26.0737,15.4898,16.1935,24.6541,36.124
CG31919,19.4837,22.66,24.1898,22.9024,39.6296,83.7016
CG33995,19.6617,26.6736,23.2285,24.0882,39.6537,78.4872
eIF-3p40,266.075,219.765,170.925,164.869,175.898,180.739
CG14040,5.99715,7.35763,6.942,9.31355,9.9348,13.5255
CG31918,3.72326,8.1369,6.27768,9.83099,10.3261,12.0873
Rpn11,59.451,101.143,74.4875,125.12,226.865,291.243
qtc,26.7549,14.3909,8.36592,10.4889,18.3596,17.6099
RpL37A,1618.91,1560.39,1271.37,1277.55,1113.3,1160.81
pgant5,17.0045,23.1677,13.2293,12.7722,23.642,34.6231
CG5828,14.9871,16.5902,17.8984,29.728,40.7574,47.0735
CG4230,16.017,8.95082,6.11323,8.87605,11.8133,14.4392
CG8680,169.401,159.405,138.05,79.2021,58.5308,57.4496
Msp-300,47.5254,35.1759,62.3709,20.592,23.1507,14.426
snmRNA:158,22.0128,15.4891,23.8446,13.6861,17.0019,15.3339
Cyp28d2,16.3876,26.3315,12.9536,3.28397,1.40389,1.60341
Cyp28d1,35.9794,22.7409,50.2403,20.0715,26.7722,16.4123
CG7742,0.836178,0.439083,0.734561,4.2905,9.11641,11.7137
TpnC25D,99.9591,62.6507,142.876,90.3505,19.7586,5.51827
tkv,19.4018,14.0193,13.3978,22.1402,45.7635,67.3827
CG14033,0,4.84733,15.0799,8.16264,5.74265,0
Cyp4ac1,12.1023,18.9619,31.1504,38.8258,19.5604,9.56025
Cyp4ac3,2.48493,2.43157,1.71137,15.2203,13.9464,11.3663
Bsg25D,6.39427,5.45323,5.14247,5.38019,10.2918,10.3448
Bub1,8.49628,6.27808,5.93802,5.9035,9.91339,10.787
vri,1.36715,15.3325,3.05772,14.5614,46.8718,53.4663
CG14023,10.0641,5.70506,5.947,3.5234,10.5924,9.97941
cype,679.315,631.015,603.338,389.003,205,182.862
CG12512,49.2723,42.3678,43.6911,12.23,2.43228,0.394952
CG7382,27.3621,29.9093,31.4945,34.9303,32.5203,37.5634
cl,138.24,139.126,157.991,127.439,151.462,167.751
CG7371,6.9354,8.42897,7.25709,9.96912,12.0664,18.58
CG6907,27.7108,30.1648,24.1019,25.6143,32.2413,35.4435
CG31648,20.5863,23.3787,18.2488,11.2585,10.8566,11.0125
CG31915,8.83922,10.9743,9.77386,7.56685,7.32965,11.1291
CG7277,34.3429,34.3754,33.8394,24.9529,28.6717,27.8016
Hel25E,92.7674,137.045,87.2815,70.9592,96.0598,107.85
Lam,67.4002,49.6728,27.1062,34.3053,64.7796,72.982
Oscillin,22.3789,28.3858,21.6869,69.372,99.5006,132.628
CG7251,0.0118027,0,0.0201383,4.0655,10.7651,15.0904
CG18266,0.0953899,0,0.122069,5.22982,13.2922,16.4781
Hsp60C,0.0539239,0.156435,0.987338,16.0259,48.4511,47.3005
CG11030,37.3711,18.5625,13.825,9.65133,14.1217,17.121
CG11147,0,20.3449,12.4548,2.30883,0,2.84644
CG11029,0,0,3.16773,10.9156,5.69343,3.16712
obst-E,360.868,128.852,675.244,235.364,68.2859,15.6558
CG9171,12.9522,13.846,10.0277,3.77181,9.22245,20.0436
CG7239,8.00194,5.80114,6.78405,8.38067,11.1737,10.6047
CG11034,2.37723,2.08646,1.44315,1.32428,3.0613,10.1412
CG31644,0,0,0.285841,3.92397,8.0557,12.8393
CG9021,0.145096,0.904878,0.536398,35.4017,398.05,1027.72
bchs,5.02782,2.80092,1.96482,2.10665,9.36145,17.9372
CG9016,1.69362,0.464296,0.427735,23.3794,63.5377,67.7078
Gpdh,330.071,435.155,399.012,152.564,58.0013,27.5687
CG9044,6.59156,6.63366,8.13525,12.8772,21.5807,28.6785
chic,179.176,280.364,251.419,385.334,607.054,811.157
eIF-4a,1662,1148.4,978.421,902.649,1061.86,1281.43
ifc,32.9225,44.1742,49.3951,40.2908,32.6787,32.3582
lid,23.3902,15.1159,13.1775,9.77071,22.2061,23.1366
Gal,12.2918,9.96132,14.7553,12.78,29.9764,48.6797
CG9107,65.6507,26.6151,16.6991,12.5405,18.2306,20.4397
