	CDase	CG3603	Desat1	CG16935	CG31523	CG10602	AcCoAS	Baldspot	alc
CG3625	0.4384415744414587	0.770346509321281	0.6817856684865338	0.5120625532917396	-0.4180780624521632	0.14215635831671403	0.4206932528362381	-0.022151801563962664	-0.7433866891954767
CG11562	-0.41903380611390456	0.33507031477060273	0.11966691825238596	0.27831995419827626	0.6433577418146011	0.7638403000027336	0.27824147981055586	0.6244609076140053	-0.16130924565698987
U2af38	-0.08529384382270531	-0.6952777168034437	-0.9049150528512027	-0.8138883828742322	0.5819252622139564	-0.06521938070501823	-0.6884208315309758	-0.20568520931882647	0.952742030931077
Hop	-0.3480135747135811	-0.6743214818068727	-0.779469521006285	-0.5951569224803908	0.806275282376207	0.2030855982410703	-0.5324954776463885	0.04607809028525273	0.846576209641373
CG11912	-0.4956150982392285	-0.5744943618517514	-0.75130604623407	-0.8103374045652922	0.3597602327292822	0.13633547887671785	-0.9448089092190087	-0.8168467590190739	0.3574060702965263
CG11911	0.6073093829379144	0.44682851846197763	0.24566736782076293	0.019845097143713002	-0.548633234492436	-0.18632365697578498	-0.029591770772773036	-0.4832666821234235	-0.41108822538202405
Ent1	-0.522992051331338	-0.6182136965242228	-0.7774303877774503	-0.8299645641641765	0.395162645289736	0.12315269550570489	-0.9501298111947264	-0.7881657742478199	0.4168485799424061
alpha-Adaptin	-0.5200840339531702	-0.7359147653856511	-0.9347494187089807	-0.8407401740705612	0.6849175082045712	0.23424686405989154	-0.9015040084422666	-0.4844804380031472	0.6717427194949549
ebi	-0.28157071587124577	-0.7401820564303313	-0.9877135637160074	-0.8943357261608019	0.6202632797946558	0.06601239555022191	-0.8598691919919871	-0.4073786753913096	0.8359882694502474
RpLP1	0.5847163106816468	0.30704178646175323	0.1654609190102982	0.18844776523455203	0.0026527863295970323	-0.16942590319325118	0.4738753569970707	0.6400696889072146	0.26723627194527244
CG11885	-0.45292536013104806	-0.7393420470932272	-0.9464935389115761	-0.8618830818256233	0.6741431789626202	0.20520688346260765	-0.9164102951760088	-0.5076976850814345	0.7024541263928864
crq	-0.5715979637688456	-0.6123288940784958	-0.7556774749187756	-0.7723986634587341	0.48832486702232175	0.22160377834024583	-0.9137281364812273	-0.7113842525857885	0.40198910630188756
CG4164	-0.04097003828305712	0.4661397599080679	0.26919199736895827	0.5450978378242923	0.5537533985718025	0.7661992513305464	0.521296165004262	0.8311652119794252	-0.26262905794629204
cbt	-0.5228222320677596	-0.6811137415952798	-0.8383184142353326	-0.7676557627851965	0.7434292358140758	0.2433332187497311	-0.7840214069904279	-0.33329562943948116	0.7151728137723211
lwr	-0.40224776612543933	-0.6700167104393243	-0.9487453809926709	-0.8761851251362685	0.6668465300018529	0.23215723516164238	-0.9228537209752609	-0.5224564204538245	0.6753770634316704
Spp	0.1489184090923267	0.6769215961651028	0.5466575991560606	0.7430649082698113	0.2726662749761717	0.5988665002358701	0.7593135439508517	0.9021222744980062	-0.437596128961242
CG2789	-0.18289081211323707	0.26828057790314197	0.25292662492909135	-0.031448569556796584	-0.41662733216401016	-0.01460689411438066	-0.1838820857488899	-0.634320885768518	-0.5579430252669673
CG2807	-0.2501107739121867	-0.6960123116778539	-0.8797997545246552	-0.7760925518968128	0.5830768896541705	-0.0364135805879682	-0.6484389743583748	-0.14651379882596008	0.8980236889788933
CG2813	-0.444819349472264	-0.7533319651851766	-0.8666661474245557	-0.7985671643035885	0.6733205598683215	0.1662906171212846	-0.8506787867133925	-0.4572278571883547	0.7250605973990132
CG3662	-0.2527291369613528	-0.5366007999724962	-0.7295866916849459	-0.8807434691230729	0.03139325226641031	-0.19855953274692503	-0.9299285193073562	-0.9342280671100583	0.3833753724708022
drongo	-0.6614189916805392	-0.6903700460968634	-0.802916814573417	-0.7703412536705204	0.6097459298305226	0.2476184068947486	-0.8780569675961232	-0.5628470256914364	0.517215541046335
kraken	0.6087759421471041	0.34170509933462595	0.3296256734029445	0.43838260701845916	-0.06737143221535233	-0.14073339343746974	0.6650061760581322	0.7864737812368165	0.10726871517084235
aru	0.4807733204495327	-9.654932002476193e-05	0.17520930456980288	0.2683050126717566	-0.18276747215364444	-0.44327205931650204	0.513479347072817	0.6293819369283706	0.32063900995226974
dbe	0.5826531183714242	-0.14108998933487837	-0.07948632327321016	0.02399986871062344	-0.043922145004282036	-0.435215998025164	0.27378754483562223	0.4729656590519075	0.5423210265607662
PNUTS	-0.37634963964085955	-0.8154863667027711	-0.904066183225234	-0.9441483494442869	0.3499804122121591	-0.14575764367022445	-0.9691627917737242	-0.7382592966342526	0.7144634715958578
Atg4	-0.5682733484321191	-0.6322461933066258	-0.8022518059623026	-0.8117747192884425	0.5039321799569885	0.21098576737076824	-0.9360752476846849	-0.7059024220179592	0.4454968491346612
Pino	-0.6129208043562308	-0.6732070330087363	-0.7254219764440287	-0.6481582843051777	0.7253093536093204	0.29608999050947404	-0.7309319925874858	-0.3392228730444809	0.5874440487439386
CG4552	-0.4096623983148591	-0.6540609951063578	-0.9410635862702446	-0.8831909128339802	0.5766134913395871	0.20390469244346093	-0.9481775236673079	-0.6056836745107167	0.5967138926305982
CG4726	0.8004817003889614	0.4350141248848714	0.46944464651511564	0.4823259987157132	-0.37631965902134357	-0.346179816792615	0.6977181103730374	0.6086465373887067	-0.034585960788497
CG4764	-0.5235841947281159	-0.5757880816323598	-0.8512882619185905	-0.6788844403463583	0.8568935082102022	0.4945979847869678	-0.7627036789368419	-0.26660430231345333	0.5649975010474261
capt	-0.8033479757485814	-0.5716070908917997	-0.6137428221051405	-0.6299322960412044	0.3826039071059198	0.2247170918084532	-0.7926460717408389	-0.6444895276310988	0.2133927001377998
Tango14	0.5569699752319809	0.26591491440939397	0.343473827596979	0.44373048088070477	-0.13347807693187447	-0.24131285771741334	0.6760844491942067	0.7762395307444693	0.1303989699231094
CG5080	-0.03812131220191817	0.7651224537406482	0.939802793323649	0.8814592924997283	-0.41688066725704254	0.18533888281089306	0.8224820301035114	0.47697073851471133	-0.9034817738185271
Plap	-0.783070610107882	-0.5797608186391433	-0.7190813794663137	-0.6599038649684659	0.5991217755200666	0.37415510342474595	-0.8017774910439901	-0.5042654188486108	0.3302806541692415
CG4887	-0.27075536599066674	-0.8237465698881923	-0.9538960871842662	-0.9266111747212299	0.3917307776479129	-0.21082060971160055	-0.8487000855377721	-0.4885670722415722	0.8730095970571135
CG5126	-0.40485347233175745	-0.1707888008813139	-0.5767659652966194	-0.5440217919206014	0.6251690296391318	0.6221218435638564	-0.7151769083479819	-0.49732488153814747	0.1056932430853035
CG5001	-0.12963161005486726	0.08451184791490753	0.3687043723939339	0.4079359008103196	0.21718380736409182	0.18721075088458775	0.37559729041131357	0.42761125397988864	-0.06365985822737108
CG5011	0.28348739165471815	-0.1723118289138904	-0.11025528868632432	-0.3685168712793637	-0.7575427834976602	-0.7894217698246733	-0.2879057020238613	-0.6642540525827871	0.059220997503489865
CG33128	0.4034960600715543	0.20164387884556734	0.11129691671210888	-0.13170479585360567	-0.7641213304616279	-0.5088884081935908	-0.1131984558493765	-0.5720123227564128	-0.2937293471412334
RFeSP	0.49168055738361904	0.5321237173942495	0.6459654992319348	0.6911782727383904	-0.24449424367677278	-0.1317330520184867	0.8822760509473445	0.8468063344345084	-0.19715710785570595
cpb	-0.5697969040440847	-0.47777466274681785	-0.7604307639278328	-0.7180819058115233	0.6329778094293789	0.44006520186290227	-0.8650672836726405	-0.582357131967856	0.3344117867343426
CG17660	-0.3005847402270759	-0.7413219019340459	-0.93292974445398	-0.961140115924491	0.3902179854219635	-0.05999814226329216	-0.9924951030866977	-0.7496831028441405	0.6835085675294242
mRpL48	0.38757340963197334	0.38629710195629	0.43660400481937667	0.6315824086177736	0.08547492029271823	0.11062891248169575	0.7783202446088693	0.9487440463362099	-0.054464882695412546
CG18317	-0.5381085228294584	-0.8412381420858058	-0.851042438154035	-0.8224023452332103	0.5393981262517336	0.007509254556556954	-0.8631649956509447	-0.5261772674928891	0.7296164117956975
Eno	0.43238092615939067	0.73117067931513	0.910807722521196	0.9135967688608398	-0.45092989233684916	-0.05454313869205812	0.9891296878856741	0.7353239332258245	-0.6017129656733397
CG31937	0.24620262527378012	0.7954542248253562	0.9733272766868059	0.968762785188606	-0.37054460014800933	0.15016809386744165	0.9539231108799296	0.6637805935842969	-0.7807360070914812
CG10908	-0.5229441562780717	0.07532741072843566	-0.18185289977852204	-0.05059542612992685	0.7441681112087004	0.6677382830020403	-0.017247218064519135	0.4226495633630036	0.12008034525750876
CG7289	-0.5021782357453743	-0.5925437001737314	-0.8078265380146608	-0.6020224559103542	0.9066888811123405	0.4492995820151287	-0.6222640082907135	-0.04500753355867564	0.6725205822904922
Got2	0.3084838216750701	0.5153222559456347	0.8355899479315215	0.8328034762432442	-0.4460691409964079	-0.22106498037361239	0.9504862846706282	0.7503336836495053	-0.41010595832855723
Nplp4	0.21142790137198003	0.18312758114347993	0.6761418420723256	0.4830570333878884	-0.7905803098060405	-0.674779367648228	0.571271436968834	0.14429486148098006	-0.29414390443236393
Su(dx)	-0.16733227388779756	-0.5624208652042818	-0.6825073740616021	-0.40708561026844864	0.8266308161693263	0.27908407889375225	-0.3474149922722224	0.2598321580119247	0.7848543479588196
GlyP	0.5807613508236181	0.7433850965300303	0.7996235764059219	0.7978249355726167	-0.4521006958901133	-0.10285591912548797	0.9269042913760395	0.7108083759386303	-0.49756359646935616
tho2	-0.633917497050101	-0.699428820982257	-0.8839862711308307	-0.7835486662802711	0.6371666125844898	0.26515687381302133	-0.8629461901036282	-0.4724437440871269	0.5559176001920565
Uch	-0.608277553398109	-0.60353610830494	-0.7641239414658751	-0.7530525134887435	0.5412619879125489	0.28562947666107835	-0.9014038457185911	-0.6655779581892642	0.3895599596648817
CG7082	0.5100334019190998	-0.0868463619353151	0.2585442371478272	0.047464232098350954	-0.7788126713135636	-0.9408130156637611	0.22981952336045697	-0.1054584250322128	0.1518263195899216
l(2)s5379	-0.6000039294602872	-0.5739121442328509	-0.8109751488792182	-0.6893510438969658	0.7987408044696263	0.4801399542744278	-0.8058699451977996	-0.38314443300695755	0.49095560725007625
CG10882	-0.0057151432459354575	0.4557064565630822	0.23339483154697468	0.4741985874841397	0.4809555668188894	0.6334562824611929	0.5244787836907107	0.845942857407278	-0.17742017523125905
CG4267	-0.5726286791910807	-0.6597971234078679	-0.5329538529229719	-0.6929229198090696	0.04155335307493765	-0.23256791920487482	-0.7814574582057758	-0.8085106366953938	0.33638096788009003
Rab5	-0.5805718561870403	-0.6753949752985836	-0.8401066739418889	-0.7978012741386353	0.6409562553212648	0.2684966461970182	-0.9009644600736306	-0.5677624852356215	0.5498317845463019
CG3609	0.3911310547916753	0.3765384483240967	0.5436755044293138	0.634973732489358	-0.14763418493584074	-0.13939186739043927	0.829256344747202	0.8800962154595294	-0.06847923140243205
Slh	-0.0648289912959979	0.22588271769445906	0.040524982987781275	0.36142232788818074	0.6854911125205699	0.6944887986544092	0.37273761652993775	0.815074139784053	0.018079322862797592
Cyp309a1	-0.6708698164308236	-0.7361916330143669	-0.7860597879958243	-0.7324251488874988	0.6559019296823354	0.21285982768113124	-0.806279160651265	-0.4353779821472111	0.6069698334077679
CG3214	0.5421794280955906	0.618579961585363	0.7057220437677781	0.692251019446961	-0.31661170196362903	-0.15434856740115718	0.887117068327599	0.7830575443226665	-0.2605416452597884
p16-ARC	-0.20318375588493154	-0.22931710823228874	-0.6842637403557501	-0.7994307997980397	0.42347752760060214	0.1906320945690485	-0.7654088835235948	-0.5501741759863736	0.42855149074276433
Drp1	-0.5417420945000571	-0.37811213627530155	-0.2961596328734785	0.03922616084372003	0.7324453733183465	0.4605261918110013	0.005928734939446133	0.5239459459940318	0.33082212653450666
Hrs	-0.6219648963618101	-0.7249700881379345	-0.8361899571231658	-0.7991637979233113	0.5978415730802894	0.20886788756024785	-0.9017825717807886	-0.5836084008442324	0.5578149046260091
Pgk	0.5275085849132034	0.6819909983846661	0.7553214125282747	0.7401503549177476	-0.3718348797027714	-0.13071912945345748	0.9172553477974303	0.7719794759086434	-0.3644973779488911
CG9894	-0.29768395656959074	-0.36042286745665025	-0.7954792101607939	-0.7884674871074803	0.5061869463066488	0.1998087810343322	-0.7291014488820569	-0.3747133519622716	0.5280864065694032
Taf10b	-0.5165851754728102	-0.6949991622662259	-0.8822629515034504	-0.8708967439489123	0.5245121911858315	0.16031030466590632	-0.964684304476581	-0.6862393244690591	0.5525226222394494
Taf10	-0.36951637379303215	-0.6712032112608639	-0.9209711738289732	-0.9332396971721452	0.4746995197364716	0.08016801336388861	-0.9864367676823359	-0.716785915036056	0.6168627163399804
colt	0.10688706028616571	0.6728449160973129	0.8754149088416306	0.9551879560679458	-0.1642557376849167	0.23309535943251034	0.9654117139599716	0.8431562386889611	-0.6263706291322227
CG2862	-0.17601744447016393	0.7926427453429976	0.6583873976147716	0.6815994710875238	0.08663272805613152	0.6965906136782285	0.5493279359576879	0.4226018462624216	-0.8390953389786975
oho23B	0.6688059590685654	0.233824760485392	0.20500472627638952	0.24091093419117465	-0.10804194228710717	-0.3040849196501459	0.5150707641498921	0.6281239636266296	0.28202009466804734
CG2991	-0.5500215060716326	-0.8502445737513223	-0.816769235047404	-0.7877161546148606	0.513798260964065	-0.0028450270402196392	-0.8461230175120753	-0.5346238509080418	0.6979345848153969
CG31694	-0.5037496718321269	-0.7221357947787664	-0.8793865980046109	-0.836887996525326	0.6584291314261536	0.1868402771296474	-0.8876859432723053	-0.5080331255847114	0.6843038757333836
CG8814	-0.006169379202053774	0.07350667645982978	-0.20678848927114854	-0.42028327648815605	-0.17847849636278826	0.055713640529544806	-0.5621870352528917	-0.8378480877911959	-0.232093024402608
Prx6005	-0.04958389748933999	0.505567544700831	0.17631455258285103	0.39045376460681364	0.6599746139771528	0.9290098825608295	0.2953481328147262	0.566320460426332	-0.30472903026148723
CG31950	-0.19673615922271429	0.048284958999815566	-0.35885813947929535	-0.06660266057100077	0.7514163285840415	0.8080517142964417	-0.1806589860864792	0.22910123017348175	0.02906604777768644
betaggt-II	0.5593500961531213	0.1920268741987124	0.16837507051766018	0.3195538004658037	0.03921255732806806	-0.1352578603048341	0.5465794744232266	0.7554358838699374	0.25330919716909595
NTPase	0.5363939775520812	0.6438789743507825	0.6185678190593547	0.7786920138619702	-0.040973083680201375	0.21559564721980337	0.8613475361511822	0.8788744670647726	-0.34445376607936073
Rbp9	-0.5434503682937041	-0.3184119667881321	-0.0749101135022345	-0.2744055661717136	-0.38412261277376103	-0.28308667766656287	-0.4246093176142358	-0.7399147795091181	-0.20721364007968782
CG9643	0.5568149878514191	-0.05352151072083294	-0.03826236356433914	0.11696206487529476	0.08168396781247458	-0.25987488666721964	0.3487472395587762	0.6062144659580586	0.48176826304075454
Chd1	0.11944296263017469	-0.5731066306217285	-0.49204531834187126	-0.39006811287454185	0.16319910982210298	-0.45083065390983573	-0.15729018107406523	0.1941683483494116	0.8317181993311157
CG3558	-0.45028057927213544	-0.8205709985934712	-0.9262097094317122	-0.8524326984061121	0.40127279527719906	-0.07058776276610532	-0.8656672868229565	-0.5363024361838263	0.68771745289343
CG3605	-0.2633614729932817	-0.7285538462063204	-0.9533533939224849	-0.8106710546424615	0.7276452481479954	0.14318931070433358	-0.773260636796936	-0.2554028784729621	0.8687723838441958
CG17259	0.39163976688357627	0.35207985803734454	0.38590751618283986	0.5908622191304703	0.09195006145858463	0.09631808151743412	0.7428246081703718	0.9306351777045421	-0.018845394551173976
CG12400	0.3642549363370501	0.7108176452116239	0.6752602033355164	0.6655950801566647	-0.1230948223081425	0.09438153355672041	0.8460134862108022	0.822038525093085	-0.32306495031320676
Mad	-0.6672787233877283	-0.6999778566345046	-0.8229564707272873	-0.8256636241280043	0.49634007263262564	0.14368214705474716	-0.9118606777540904	-0.640220774433597	0.508506206995095
CG3332	0.8096338331428153	-0.13027956101451893	-0.19629284763143617	-0.22538783317509126	-0.2818939472717561	-0.6121672583298378	-0.00033390605570186274	0.009826228005742772	0.5142001145703108
CG15406	-0.2980748986029127	-0.6697185390401502	-0.9581011560650414	-0.953986445134864	0.45048576807167307	0.01973408793795961	-0.9574043033141547	-0.651409312361583	0.6799326901528532
Ptpa	-0.3414646716744254	-0.38234693877036935	-0.7678721282486816	-0.5914237766938094	0.8625752709437312	0.49093480657422733	-0.560143374240476	0.0023117376158880492	0.6006740491777509
CG2774	-0.6079217738817733	-0.6396110799252687	-0.7858671710265482	-0.7943360829451797	0.5114751732719756	0.21544102357935954	-0.9197885165332718	-0.685381473446001	0.4404959245548868
CG3246	0.25578096915747756	0.3846454165360232	0.679048578631171	0.7588643982353391	-0.2292468869463479	-0.14137776458346113	0.8999727796862955	0.8688728828961232	-0.2162164554125429
Pdsw	0.5105213406904834	0.4840026691719043	0.5988181676114008	0.6386800130159555	-0.23779645630054597	-0.1765843295459965	0.8468125544987299	0.8285397022461178	-0.12539675188372415
Thor	-0.6331359315891529	-0.5739216037824596	-0.711789268530011	-0.7961300268429716	0.29150588319273485	0.06359016710836009	-0.8888477772259901	-0.7621915183446014	0.3418809879802446
CG33123	0.3504439437668803	0.3263523835348899	0.35977741697109383	0.5615677723492332	0.15222797297683247	0.11808156091851135	0.7221291684710976	0.9445725926819515	0.029001778245339057
CG17593	0.22424064650951464	0.5183424066626738	0.41356718574976836	0.6406907706881949	0.3191314869817498	0.46718853808858163	0.7209369717978655	0.9590187139675576	-0.19431543034377985
drm	-0.43214892836377183	-0.6867360373600175	-0.8760418002821193	-0.7154188683245378	0.8407986205614526	0.32344309354238654	-0.7380610011795011	-0.20885937539435473	0.7558697418359889
for	-0.6888080656052954	-0.6493915744280006	-0.712424327360665	-0.5868244471949386	0.7888739575527386	0.40660834137417035	-0.6964316146387156	-0.27080126076523003	0.5238875964320063
CG16704	-0.11170019184472929	0.20857029598694157	0.1642284055630446	-0.13583296958340513	-0.534503871291069	-0.1692359591054592	-0.2542806503140304	-0.7277693877619076	-0.4908495169532147
CG16713	-0.1470957082774668	0.44916484634896453	0.4466745972428561	0.11143821090855935	-0.49383983914588536	-0.17980676646740254	0.1593404031688729	-0.2215697020893154	-0.47317616286851744
CG16712	-0.06199491495530239	0.48552948301869375	0.8000536805434137	0.6909543485348485	-0.3702955815393506	-0.11940640434652497	0.7815513759713971	0.5628337071391266	-0.4732953256193724
bowl	-0.47720154863361053	-0.8177321514021861	-0.944764771321408	-0.9065436136374332	0.5209929028093516	0.03294120373850897	-0.9533608738780611	-0.6192395621456555	0.7099354722105256
CG34176	0.6975033522800894	0.3278126127355407	0.41516582914900296	0.29967997928479945	-0.7760135925724535	-0.6503817187510036	0.4795673709483442	0.1550254288547774	-0.16799287913450517
CG15422	0.5112589106079051	-0.24165728634917835	-0.12387874943244098	-0.09925083083963936	-0.4775780106778368	-0.6438165917331139	0.0034717049255695975	-0.11057797110484612	0.24910308215683474
CG15423	0.7615538999642812	0.11969155036684277	0.014943112348687894	-0.18574631249625767	-0.6697710315150202	-0.7171131444979932	0.007119493785476135	-0.2733196002205075	0.130940937652264
CG10039	0.044551134931440486	-0.6039899879923609	-0.8163335604894885	-0.9163875708222987	0.004943703524889055	-0.42083467137652014	-0.8267615443698652	-0.7186278915852051	0.6694030013132892
CG3714	-0.5682945529919889	-0.6915404537950944	-0.8817991086741048	-0.8727740699858038	0.5448626881007749	0.1613648224483787	-0.9425868023520386	-0.635199416306604	0.5734503640804659
CG3702	0.3981126120680143	0.15351720533957314	0.019746731602090305	0.25174309586285426	0.349357692844639	0.15703562385919267	0.43324586900010265	0.79802451415698	0.30061265530137193
RpL40	0.5736513522572121	0.16047144721120804	0.06212696220906691	0.14367640897837308	0.0939830915152823	-0.17005569247524216	0.41424370938034105	0.6504134374160807	0.3894647627527995
Tps1	0.2066573128452425	0.6131331502478652	0.9035022646443075	0.9049134358643244	-0.4392311692289616	-0.08976724258839146	0.9760591177406172	0.7435481110065485	-0.577870529330915
CG3652	-0.34300972661435475	0.11338450519860063	-0.3359958158291505	-0.3985976266588202	0.4098476304040218	0.6007114788476893	-0.5536043309446698	-0.49317196275424563	-0.15796477464897676
l(2)k05819	-0.4761829685743263	-0.7186022211197881	-0.9082770138754127	-0.8924262327295073	0.44195565747595167	0.0793577803964943	-0.9738190311420482	-0.7149298707158415	0.5579777514862698
Dim1	-0.33723514199411336	-0.33547359724570475	-0.6889859893563598	-0.6958225977838016	0.716166736079422	0.3865805310222174	-0.6967649239981711	-0.32392767235827713	0.5263923821110771
CG15438	0.5132380047072845	0.7717368632301417	0.5742304405183435	0.7142531199583093	0.05115992418296313	0.39944325619181476	0.7745134889017738	0.8024168458490923	-0.4296419889921857
CG15440	-0.4521172481790508	-0.6484882964376248	-0.8746852799436103	-0.9170071196941657	0.39070633218822237	0.05298274697473569	-0.9800341040144624	-0.7653162456613878	0.5286538878340393
Gs1l	0.5855169973915885	0.17971987144501925	0.3144226143787743	0.4096932601875061	-0.18105807154013326	-0.33634580662032587	0.6388285238795911	0.7181259940217388	0.18645806020818934
RpL27A	0.5832826956306233	0.17819188711386033	0.2562453965975266	0.3423073620421317	-0.17060968559908934	-0.33958429071488366	0.5910071045524337	0.6903479834193628	0.21948651708170824
mRpL27	0.5010601762783295	0.390918336338606	0.33163376666195815	0.40244324658130903	0.0055012661996342235	-0.06517073956523198	0.6479593363832246	0.7993020898320938	0.10016198675731548
CG3244	-0.20210888075703254	0.18184509673243668	0.6782532895410234	0.6719379852302959	-0.31009613523488055	-0.20816859725140396	0.7284423134600821	0.5942030549506931	-0.3060441060699875
CG2976	-0.15281864006752435	-0.2538079577011485	-0.5897701374518803	-0.7468075894826497	0.3641353830406055	0.004031498485784459	-0.6173205467212839	-0.3866706249654024	0.5610504845323137
CG15626	-0.46492961391329546	-0.6621063791045579	-0.8023634030885545	-0.9006220390820753	0.21474978898252045	-0.09774563290679118	-0.962014399071615	-0.8499182118892521	0.471767658334563
CG2950	-0.5529131452406716	-0.3536243688768169	-0.4133601433494689	-0.5622448927403008	-0.10670825363670067	-0.08682207544303369	-0.6770729382216886	-0.797620031324776	-0.01628610531210475
mRpS2	0.46884368040247887	0.3439806468211616	0.39438051310556493	0.5163350813884836	-0.025753794261152874	-0.08224086972533994	0.7301041042541857	0.8691736889829834	0.057134595975524415
CG3008	-0.6537246625266936	-0.8087263408433996	-0.8874254238396125	-0.8143805062199245	0.5790022910338789	0.10771187898192291	-0.859806486941331	-0.47567179780589885	0.6615281993984192
CG3036	-0.6706103449109715	-0.5884243493084583	-0.5534923025465235	-0.6238461290092818	0.3116291215156598	0.11184042113279831	-0.7872370944999042	-0.7114987623770604	0.2545551163598707
mRpL24	0.4699859291106834	0.46155226893272877	0.42045132368308386	0.5339624199804126	0.04557107425691397	0.05300352864936866	0.7390423437437565	0.8889389934149685	-0.012617636671754076
betaggt-I	0.12093674332835981	-0.5083488080408034	-0.5718391534330802	-0.4374844775182456	0.5773333173621761	-0.04374851218520144	-0.28654706276575825	0.18483095931880728	0.8731878591651414
Jon25Biii	0.22336235155734913	0.5217811637394777	0.45778492043205343	0.20712594964174713	-0.6554250622455337	-0.10652831595124607	0.08936658074038434	-0.4649834488077242	-0.724630186298794
Jon25Bii	0.7414162468203536	0.8298861255206492	0.7047790096965209	0.6231248818966139	-0.5608267425050688	-0.042948854426242015	0.6497854504334016	0.2638900201549763	-0.65814864171689
Jon25Bi	0.7380287569083981	0.5606294074846285	0.6253840140954918	0.664438099361621	-0.3914377510780169	-0.2210866040403045	0.8279306952194129	0.6934271038095099	-0.23859541109014784
CG34125	-0.45178882573863	-0.5289576700633872	-0.7776041448442867	-0.8625444548272113	0.3794284969278663	0.12037429299348983	-0.9443012004691689	-0.7840661420550782	0.42064002749228413
Trip1	0.5503072617852651	-0.13238503517666936	-0.21780792107866564	-0.07012540261126197	0.18600390912678125	-0.22706805585289166	0.16869237761125602	0.487717429010896	0.608747086077527
CG8885	0.1832328229833036	0.5263112889565651	0.6303818427410043	0.8212440624393682	0.08539897307659357	0.2936632412786272	0.8863670562401522	0.9846298420253942	-0.3333882610556242
CG14043	-0.30151240060577134	-0.669063068681527	-0.9500056177443047	-0.7772830127539033	0.7319580642139035	0.23429741002619117	-0.7663031127128547	-0.2499296612754412	0.7664143391027921
mRpL28	0.4630212629062762	0.4850256469539968	0.526394682734718	0.6422968111488867	-0.04906211137139692	0.01162153704044365	0.8255289263351286	0.9125792642590206	-0.1057371195914467
Gmd	-0.44063179233811745	-0.10286912342147635	-0.5302957749583561	-0.5522232767521024	0.6344135236923255	0.5932787002888388	-0.6546500688348664	-0.4131897214319315	0.14671343811008525
CG3792	0.3421019113780775	0.5969195671759129	0.5418929583243841	0.7146680068787565	0.13733159633176512	0.32212360911741	0.823514954766425	0.9607432940218014	-0.25623573651474263
CG8891	0.37585472413649335	0.45374193332448803	0.41377804704207705	0.5595418363418316	0.1308826438702211	0.1485703469341003	0.7425444754035926	0.933388167742822	-0.030943238135601344
Rtnl1	-0.15786143428192675	0.729076396608847	0.7038042284370055	0.7930697942902603	0.1692040385864354	0.6832635461506797	0.686173356921574	0.6424644055587297	-0.7385495146165197
CG3887	-0.5206354872489126	-0.2573782621433853	-0.566133077344192	-0.5604665960879107	0.7375801947966539	0.5373950686496788	-0.6290034787838338	-0.29313867544433764	0.32623296412293856
vkg	0.2281855791934331	0.4146785838256305	0.6660619279002871	0.7834844113152383	-0.1481033005447295	-0.032552616572650385	0.9082538432577373	0.9187927799085642	-0.24346780866103815
Cg25C	0.23729356688294567	0.4372142401368383	0.6632677074600491	0.7823203649448132	-0.13063182172240015	-0.0070031980346662035	0.9098578812818041	0.9291608284903564	-0.2485715868021838
