Gene,L1 larvae1,L1 larvae2,L2 larvae1,L2 larvae2,"L3 larvae, 12 hr post-molt1","L3 larvae, 12 hr post-molt2","L3 larvae, dark blue gut PS(1-2)1","L3 larvae, dark blue gut PS(1-2)2","L3 larvae, light blue gut PS(3-6)1","L3 larvae, light blue gut PS(3-6)2","L3 larvae, clear gut PS (7-9)1","L3 larvae, clear gut PS (7-9)2"
CG42399,1.24804,1.61378,1.80151,2.09408,1.15984,1.23957,0.526502,0.835792,0.672901,1.26498,0.672901,1.3379
CG3709,5.2663,4.69667,5.87595,5.45937,3.49487,3.38766,2.23964,1.72411,4.40804,2.73037,4.40804,3.42001
CG11455,193.342,217.181,226.018,240.523,180.043,204.702,124.103,138.326,90.2382,90.0139,90.2382,101.782
CG3436,19.9343,17.0774,19.6606,18.329,20.7053,16.1244,17.8066,17.6844,26.6675,20.8183,26.6675,30.1716
CG33635,2.13628,2.60515,5.2245,6.86914,3.60609,4.64892,4.35246,5.1454,6.93234,6.78446,6.93234,9.21683
spen,14.3186,13.5332,14.7102,7.8714,12.0668,8.0396,3.87014,3.3565,27.1013,14.6776,27.1013,17.1018
mRpL10,49.5194,54.6553,62.8854,69.4173,46.2947,51.0159,20.7048,22.7412,17.7151,17.1091,17.7151,19.5714
CG11617,3.10397,3.16277,4.29757,4.35172,4.03617,4.10693,1.90241,1.95217,0.328757,0.865587,0.328757,0.351736
CG11490,4.63556,5.08737,4.6728,5.13347,4.35512,4.76911,6.40544,6.98741,14.8729,11.5923,14.8729,16.2997
kis,18.5427,17.9155,18.7006,18.0594,14.3005,14.2924,11.5436,11.1755,46.0588,34.3905,46.0588,45.0843
CG13693,0,0,0,0,0,0,1.44781,1.47477,5.89524,4.20878,5.89524,5.98656
Rpp30,9.21991,10.0947,8.09228,9.00947,5.81228,6.41014,5.90354,6.78601,9.27846,7.08306,9.27846,10.4596
CG3645,17.6621,18.13,13.7217,14.0688,10.8504,11.0948,5.58096,5.73469,8.13204,7.71591,8.13204,8.30492
CG17075,3.10287,3.10287,0,0,0,0,0,0,1.38025,1.15544,1.38025,1.38025
CG3345,0,0,0,0,0,0,4.54048,4.81287,13.38,10.3812,13.38,14.1683
mbm,28.2571,28.6268,12.7214,12.9838,7.56983,7.62958,4.89389,4.93137,5.98882,5.62362,5.98882,6.07994
CG11555,24.2102,23.2068,21.5379,20.7696,13.6834,13.5663,8.86701,8.64166,11.8758,8.68275,11.8758,11.3948
CG17078,8.11532,8.01415,7.19687,7.13397,5.73946,5.66613,8.32034,8.0832,17.2733,12.5781,17.2733,16.9365
smo,3.48298,3.64597,2.87119,3.09822,3.12998,3.26704,4.40861,4.60204,10.4101,7.63104,10.4101,10.9149
CG11601,15.2116,17.1061,15.1436,16.7424,11.04,12.3526,7.69398,8.51471,12.0084,8.48636,12.0084,12.9499
CG3625,55.2168,56.4621,64.7797,66.1144,64.6455,65.7519,77.6942,79.4886,55.4805,55.0183,55.4805,55.8198
CG11592,5.59652,5.41629,5.03749,4.95552,8.09634,7.89195,3.00187,2.94657,8.28308,3.66735,8.28308,8.15778
CG11562,14.2163,17.2861,24.6731,29.4461,20.6588,24.6425,13.0506,15.9603,19.5757,21.1018,19.5757,23.791
U2af38,27.1894,29.4004,21.751,23.4963,16.1464,17.4634,18.0354,19.4871,29.9758,26.2742,29.9758,32.3726
Hop,75.789,80.1837,69.0846,73.2677,53.5703,56.7657,39.9474,42.3569,101.8,69.5574,101.8,107.54
Pi3K21B,13.4807,14.2028,11.0694,11.3963,11.8994,12.2853,6.8829,7.13265,19.7758,15.7268,19.7758,20.0634
Plc21C,14.1587,16.0882,7.40363,8.40255,6.17447,7.2183,4.89805,5.24067,13.7685,9.71961,13.7685,13.6541
CG11912,19.4664,19.4664,40.6328,40.6328,44.086,44.086,730.954,730.954,1463.54,1110.1,1463.54,1463.54
CG11911,199.223,199.223,200.267,200.267,70.7246,70.7246,793.038,793.038,60.373,233.954,60.373,60.373
CG33127,116.677,97.581,106.413,90.6272,60.176,51.1968,77.2187,64.619,2.75273,9.44399,2.75273,2.28521
CG31920,0.373052,0.401416,0.0817407,0.0857507,0.309417,0.330228,3.17726,3.3353,12.2163,9.1038,12.2163,12.2574
CG33992,0,0,0,0,0,0,2.49245,2.49245,11.3153,7.85687,11.3153,11.3153
CG31921,0,0,0,0,0,0,1.85366,1.85366,7.53599,5.34997,7.53599,7.53599
Ent1,12.4747,13.245,11.1385,11.8367,12.7477,13.1676,29.1327,29.9251,53.7721,42.2789,53.7721,54.9214
al,9.35108,10.0748,7.18622,7.72317,3.24897,3.48961,3.78794,4.07063,11.223,7.56695,11.223,12.0819
CG4213,3.98,4.0759,4.17616,4.27325,7.00099,7.15934,8.13064,8.31647,15.5183,13.0877,15.5183,15.8779
RpI135,23.7211,24.8983,10.9251,11.4487,6.4447,6.7541,3.1612,3.31053,4.83138,4.09949,4.83138,5.04055
alpha-Adaptin,21.454,21.4962,21.6361,21.6809,15.9008,15.9483,18.9062,18.9427,39.8636,31.4839,39.8636,39.9199
ebi,16.9346,17.5907,14.7782,15.3552,10.4082,10.8141,12.7016,13.1839,21.891,19.7097,21.891,22.7405
CG13690,4.49928,4.50834,5.03734,5.03551,3.21657,3.21627,4.5433,4.54253,5.22026,4.80175,5.22026,5.23087
RpLP1,2871.46,3530.82,2544.74,3128.91,1989.03,2445.29,1820.87,2239.21,1781.04,2114.35,1781.04,2190.2
CG11885,25.1299,25.1299,23.776,23.776,13.9482,13.9482,21.6166,21.6166,53.5407,37.9986,53.5407,53.5407
CG13692,0.405857,0.566712,0.311151,0.490415,0.384717,0.546536,0.698997,0.806289,0.749737,0.955503,0.749737,0.959181
BBS8,0.549879,0.582302,0.34138,0.380562,0.255292,0.252094,0.593027,0.628674,0.812606,0.795396,0.812606,0.771814
ex,6.53706,6.65573,7.17703,7.3063,4.1196,4.18832,6.99048,7.11624,20.1802,16.0513,20.1802,20.5194
crq,10.9476,10.5199,14.7616,14.2125,15.8651,15.5412,33.1543,32.4297,70.1227,45.9754,70.1227,69.778
CG4164,30.3082,31.0754,62.189,63.6423,39.3562,40.3351,24.5649,25.1802,33.6649,30.5276,33.6649,34.5143
CG4133,9.0278,8.94488,3.32769,3.27068,1.27773,1.25237,1.92156,1.90564,4.03749,3.34766,4.03749,3.92482
CG4297,2.18264,2.28485,2.37909,2.45369,1.97784,2.0577,2.25208,2.36856,1.9174,3.3016,1.9174,1.98363
MED15,8.95133,9.27966,8.57646,8.88664,7.06245,7.31205,8.98691,9.31655,18.2378,14.5317,18.2378,18.9
cbt,21.5368,25.3044,20.4365,23.9684,16.7309,19.6174,16.0426,18.8526,46.3795,31.8768,46.3795,54.4488
ush,7.46249,6.87315,4.60838,4.17637,5.23711,4.76743,5.43799,4.86964,10.2389,6.5623,10.2389,9.22025
lwr,76.0412,78.5863,76.9704,79.5831,60.7269,59.3494,73.5634,76.3025,112.804,99.196,112.804,116.645
Spp,95.7926,103.242,186.507,201.096,129.3,139.724,83.0406,88.8407,76.6982,80.4668,76.6982,81.5457
nAcRbeta-21C,10.5258,11.2607,7.37998,7.85851,11.5776,12.2641,13.0002,13.8575,11.2651,16.135,11.2651,11.9461
Ets21C,2.55335,2.41026,0.699598,0.742597,0.752034,0.815126,0.607411,0.547369,1.18075,0.920152,1.18075,1.11736
CG2789,59.8969,65.637,74.2993,79.7713,112.428,124.855,149.57,161.402,98.6769,121.563,98.6769,106.77
CG11835,0.438376,0.438376,4.12594,4.12594,74.5208,74.5208,48.9614,48.9614,55.4328,42.5135,55.4328,55.4328
CG2794,19.6075,19.8905,16.261,16.5364,14.6025,14.7673,8.89726,8.95342,9.90666,10.4454,9.90666,10.0089
Nle,52.6149,57.0694,23.8363,25.6381,14.4931,15.5968,7.41407,8.01862,8.67053,8.9013,8.67053,9.31476
CG2807,17.0084,18.1054,15.014,15.9579,13.0647,13.879,12.4887,13.3077,18.2388,17.9674,18.2388,19.2482
Ipk2,7.69595,7.69595,8.71487,8.71487,7.60547,7.60547,10.2908,10.2908,40.7198,17.7582,40.7198,40.7198
CG2813,21.769,22.1362,17.094,17.364,13.5532,13.7466,18.4858,18.7704,52.4914,26.8143,52.4914,51.2569
Ptth,0.674068,0.875229,0.353894,0.589603,0.154833,0.153164,0.537901,0.502461,1.55971,1.04432,1.55971,1.96565
Pph13,0.177223,0.183262,0.0764259,0.0790304,0,0,0.0508711,0.0526047,0.152712,0.0592229,0.152712,0.157916
Gsc,0.732206,0.734119,0.306928,0.308269,0.182439,0.184095,0.0797877,0.0799569,0.326014,0.177376,0.326014,0.324875
CG13689,1.46928,2.05761,1.51482,2.07275,1.35758,1.93451,2.34641,3.3268,8.00718,6.12283,8.00718,11.2895
lectin-21Cb,0,0,0.0147505,0.0147505,0,0,0.0319094,0.0319094,0.0450778,0.0574783,0.0450778,0.0450778
lectin-21Ca,0,0,0.0133391,0.0140949,0.0573282,0.0604148,0.0870888,0.0914737,0.124814,0,0.124814,0.129223
CG2839,0.0173401,0.0173401,0.0138052,0.0138052,0.00986215,0.00986215,0.0298645,0.0298645,0.0562519,0.0358631,0.0562519,0.0562519
ds,2.44702,2.44978,2.61656,2.61951,1.80682,1.80886,3.43281,3.43668,12.1068,9.1566,12.1068,12.1204
Hsp60B,0.0134059,0.0133212,0,0,0.181976,0.181834,7.33946,7.31875,29.1305,23.7422,29.1305,29.0887
Eaat2,10.8369,11.7699,4.1348,4.4808,1.30676,1.38771,1.75608,1.83404,4.65862,3.23945,4.65862,4.85871
GABA-B-R3,8.11051,7.17106,2.10143,1.96415,0.679902,0.705619,0.636258,0.443905,1.82731,0.999845,1.82731,1.62095
CG12506,25.6582,23.1502,0.100215,0.102393,2.2375,2.13958,1.53565,1.38441,0.733087,0.997494,0.733087,0.625833
CG13946,0.0803377,0.0803377,0,0,0,0,0.0691818,0.0691818,0,0,0,0
CG13947,87.2015,70.3471,2.37755,1.99795,22.1596,16.4479,28.9809,23.8746,23.8624,31.2036,23.8624,19.5288
Gr21a,0.303925,0.316377,0.108638,0.107949,0.0317491,0.03305,0,0,0.0377273,0.0200307,0.0377273,0.0392731
CG3544,0.184067,0.00787055,0.0474818,0,0.177916,0.0133998,0.754085,0.75926,3.25196,2.24605,3.25196,3.23871
Pkg21D,10.4129,10.9664,7.07024,7.37671,8.49035,8.9716,4.77726,5.05317,2.14987,3.80757,2.14987,2.31249
Nnf1b,0.500889,0.559621,0.62032,0.705432,0.696371,0.835492,0.702916,0.763025,1.60233,1.51911,1.60233,1.87216
KH1,16.0349,17.7574,13.5859,14.9787,9.70251,10.6945,4.86175,5.29468,4.94269,5.34351,4.94269,5.43674
CG3883,2.47659,2.55253,2.18512,2.2646,1.74507,1.84116,2.6318,2.71645,4.78382,3.7638,4.78382,4.95718
CG3639,8.91653,9.72059,8.82828,9.50128,6.29869,6.84228,8.3386,8.92329,7.02986,7.88746,7.02986,7.45417
CG15880,0.378228,0.348613,0.327437,0.287034,0.165915,0.134604,0.962647,0.9302,1.4478,1.29627,1.4478,1.36844
CG3876,3.42962,3.48949,4.94416,5.01346,2.88392,2.93028,3.963,4.06604,7.43006,4.99543,7.43006,7.61734
Clp,13.1549,13.1549,9.62095,9.62095,7.87453,7.87453,8.58282,8.58282,11.5507,11.2113,11.5507,11.5507
CG3662,105.511,113.168,59.547,64.3779,62.6894,67.995,153.923,165.564,173.879,213.77,173.879,187.585
CG3862,8.24903,8.30967,8.45509,8.50831,6.47021,6.47828,5.13218,5.01474,5.67879,5.69636,5.67879,5.79033
dock,20.72,18.2935,12.9284,12.3255,9.77699,8.66469,8.79343,7.69773,27.2198,16.5587,27.2198,23.099
drongo,18.4274,20.6388,22.6649,23.755,24.5303,27.1334,30.4686,31.0865,105.06,66.9004,105.06,108.013
CG4291,4.41074,4.54017,4.53077,4.66372,3.01162,3.09865,4.61624,4.72979,7.3013,7.23148,7.3013,7.47647
kraken,80.9699,93.3367,70.5688,81.3613,45.1458,51.9181,28.8928,33.2982,20.8231,27.1779,20.8231,23.9689
CG13949,0.0706957,0.0919249,0.222302,0.204918,0.182745,0.156846,1.09976,0.918255,1.70404,1.22628,1.70404,1.31957
CG13950,2.86967,3.48329,2.99133,3.56552,1.81178,1.95538,3.32818,3.63586,1.46613,2.68988,1.46613,1.43083
aru,27.7616,27.8143,20.1091,20.1924,19.2373,19.3915,13.7692,13.8869,14.3358,15.7535,14.3358,14.4478
snoRNA:Me28S-U1230,0,0,0,0,0,0,0,0,0,0,0,0
dbe,49.8142,49.8142,25.6579,25.6579,14.8351,14.8351,10.4821,10.4821,15.5553,12.4258,15.5553,15.5553
PNUTS,35.2999,35.185,26.6068,26.4901,27.7203,27.7032,33.8361,34.2661,47.3456,41.37,47.3456,47.9942
ninaA,0.938754,1.12298,0.315351,0.374385,0.17231,0.194632,0.173421,0.195822,0.257732,0.200111,0.257732,0.26547
CG15824,0.023363,0.0144529,0.00663878,0.00216014,0.0199761,0.020255,0.768587,0.772925,2.76069,2.47515,2.76069,2.7716
Lsp1beta,0.0375681,0.0385196,0.119638,0.122668,2789.27,2859.39,19691.9,20189,1497.23,9481.13,1497.23,1534.94
snRNA:U1:21D,0,0,0,0,0,0,0,0,0,0,0,0
GluRIIC,10.7588,10.8413,9.52475,9.59777,10.6193,10.6925,6.75659,6.80839,2.58532,5.042,2.58532,2.59932
CG4341,13.59,13.799,4.25699,4.31967,1.45393,1.47604,1.09923,1.11582,3.91935,2.65735,3.91935,3.97949
ia2,101.012,122.353,42.5651,50.341,14.0293,17.9378,5.44234,6.28738,12.4447,18.4728,12.4447,15.2927
CG4375,0,0,0,0,0,0,6.68253,6.68186,29.6638,17.9978,29.6638,29.6633
CG4415,0,0,6.39346,5.85331,10.5744,9.68783,6.28513,5.74911,5.93819,6.58129,5.93819,5.41444
S,6.93351,8.32415,4.60027,4.97288,3.31545,3.77487,4.10253,4.32267,10.2531,9.56542,10.2531,10.8307
ast,14.6597,11.0018,7.82916,6.27738,3.91504,4.63443,4.84569,4.84148,4.96714,6.43026,4.96714,7.57088
Atg4,13.479,13.6198,15.9227,16.1295,14.3057,14.7037,28.3437,29.0957,61.1342,45.0321,61.1342,62.1074
CG4629,11.6371,11.4364,7.16808,7.05243,4.59783,4.38198,3.81488,3.50538,4.82627,4.48813,4.82627,4.67211
CG34016,0.141701,0.14991,0.137653,0.143552,0.100897,0.110402,0.134527,0.139534,0.147612,0.134961,0.147612,0.153461
CG4644,17.9508,19.1843,11.9713,12.7686,9.19462,9.82538,3.16059,3.35914,3.56683,3.9727,3.56683,3.81186
CG14339,0.0300119,0.030651,0.00802488,0.00697213,0.0441825,0.0448268,0.437682,0.444939,1.23543,1.1139,1.23543,1.23581
CG14340,0.0238409,0.0291173,0.0154915,0.0115907,0.0406783,0.0496812,0.0615908,0.075222,0.116011,0.0903314,0.116011,0.141686
Pino,42.8336,45.0913,45.843,48.204,50.9644,53.6046,40.7925,42.9108,152.196,68.9936,152.196,160.091
CG4552,16.9826,17.0497,17.3476,17.4162,13.866,13.9207,17.2317,17.3001,23.6822,22.314,23.6822,23.7757
Iris,0,0,0.0196775,0.0195685,0.0693452,0.0694014,5.1841,5.18366,0.834936,1.91589,0.834936,0.835016
CG4577,35.7288,38.0403,15.1268,16.1234,6.03569,6.47335,5.06089,5.40696,9.37461,8.67479,9.37461,9.94274
CG4726,181.341,195.783,137.294,147.586,102.152,109.846,103.754,111.451,33.4358,59.2811,33.4358,35.8627
CG4749,13.5181,13.5181,12.8296,12.8295,8.689,8.689,3.63921,3.63921,3.5385,3.90849,3.5385,3.5385
Tfb4,6.37037,6.60085,6.69171,6.93391,6.028,6.2461,5.48576,5.65942,7.6481,8.09283,7.6481,7.88975
CG4764,24.7773,24.784,28.7355,28.7733,23.0428,23.0558,23.793,23.8237,35.3943,30.2775,35.3943,35.4239
capt,89.8163,88.2153,98.4967,97.4125,113.648,113.246,110.888,110.112,150.384,143.327,150.384,148.254
Tango14,55.0911,60.0121,43.7431,47.8325,34.7141,37.862,20.607,22.2773,16.7032,21.4288,16.7032,18.6823
CG5080,16.9069,17.5834,24.5758,25.6695,30.5722,31.5438,23.3118,23.9592,13.7837,20.3194,13.7837,14.0887
CG4785,5.94851,6.00711,6.59233,6.65834,5.41058,5.43305,4.24635,4.26541,6.17038,6.85422,6.17038,6.19965
CG14341,8.24415,9.31637,9.2259,10.5335,8.5509,9.09451,12.6863,14.1974,17.0255,17.7764,17.0255,19.5408
Plap,17.1274,17.291,25.3271,25.5318,25.0328,25.2711,23.0384,23.2467,47.2451,42.2217,47.2451,47.5687
CG31922,1.48636,1.6075,1.66008,1.74899,2.13802,2.23556,2.72505,2.69856,5.24989,3.27922,5.24989,5.80059
CG5118,8.22353,9.17653,5.85624,6.58728,5.43462,6.06972,9.52276,10.7632,16.2284,11.2752,16.2284,18.2471
CG4887,16.1379,16.8616,11.3842,11.8861,10.0211,10.4831,11.2392,11.7302,18.4736,18.2398,18.4736,19.2456
CG4896,8.65218,8.77204,5.92355,6.05766,5.52536,5.66165,10.61,10.9419,14.8624,14.2841,14.8624,15.3506
CG5126,10.5055,11.0213,15.5118,16.3334,11.8071,12.3026,15.8405,16.32,18.9961,17.0686,18.9961,19.3712
Tgt,17.7707,18.1321,10.7866,10.9581,7.52981,7.67499,2.96187,3.02521,3.40932,3.47429,3.40932,3.47093
CG5001,46.7433,46.1788,47.8713,47.8697,57.5995,58.5494,47.0509,47.0205,54.8493,32.3451,54.8493,54.9187
CG5139,0,0,0.0155331,0.0193179,0.0665796,0.041401,2.18417,2.21487,12.0573,6.73722,12.0573,11.6596
CG5011,88.6795,88.6795,32.6842,32.6842,56.8682,56.8682,92.5419,92.5419,46.2366,100.099,46.2366,46.2366
CG14342,2.56179,3.23576,0.284852,0.365925,0.0976766,0.125477,0.0985944,0.0949919,0.679001,0.484808,0.679001,0.782793
CG42329,0.267689,0.310844,0.340302,0.390461,1.03456,1.1904,8.668,9.85061,0.579803,2.52871,0.579803,0.638646
CG5397,7.15136,7.8226,5.4093,5.91074,15.4928,16.9213,16.4904,18.0385,20.4923,22.2867,20.4923,22.3411
robo3,10.3508,12.4172,2.77992,3.16432,0.753928,0.888067,0.92721,1.0594,3.78436,2.98825,3.78436,4.04983
a5,0,0,0,0,0,0,0,0,0,0,0,0
CG5440,0,0,0.0211489,0.0230644,0.32557,0.197721,4.38267,3.792,5.59094,3.32538,5.59094,4.58154
CG33923,0.0242644,0.0242644,0,0,0,0,0.04179,0.04179,0.0295179,0,0.0295179,0.0295179
CG33922,0,0,0,0,0,0,0,0,0,0,0,0
Cdlc2,0.0633136,0.068087,0,0,0.785065,0.781229,11.8691,13.143,23.8892,24.9585,23.8892,26.3497
CG5556,0,0,0,0,0,0,1.08116,1.11322,4.64972,3.87057,4.64972,5.02873
CG5561,0.0131442,0.0131442,0,0,0.0224271,0.0224271,3.05611,3.04842,10.4895,6.64673,10.4895,10.4895
CG31924,0.00705232,0.0174456,0,0,0,0,1.15E-10,1.03282,3.25E-09,2.54615,3.25E-09,3.33223
CG5565,0.0284401,0.0317614,0,0,0.174962,0.189674,3.39909,3.28211,10.2294,7.78421,10.2294,10.0266
CG31659,0.102432,0.0988985,0.0164014,0.0196842,0,0,0.074279,0.0851652,0.343768,0.153408,0.343768,0.300778
NLaz,3.29019,4.14205,4.8534,6.04569,9.57535,11.9663,3.97733,4.99903,116.889,22.5848,116.889,146.203
CG14346,0.317713,0.324069,0.195697,0.203588,1.25535,1.39254,3.40052,3.71724,6.52749,5.85191,6.52749,7.04889
lea,5.53887,6.24757,2.73619,3.12574,1.95551,2.22113,4.71421,5.384,14.4222,12.8042,14.4222,16.9444
snRNA:U3:22A,0,0,0,0,0,0,0,0,0,0,0,0
CG31928,0.137379,0.148308,0.0588932,0.0635784,0,0,0.0546011,0.0589449,0.218546,0.159266,0.218546,0.222054
CG33128,514.268,513.516,399.314,398.764,417.477,416.921,663.465,662.568,322.281,634.599,322.281,321.823
CG31926,0.335388,0.29076,0.33214,0.32408,0.233418,0.218287,0.376025,0.380584,2.23855,0.793788,2.23855,2.09398
CG31661,0,0,0,0,0,0,0,0,0,0.018819,0,0
CG18131,0.306095,0.315104,0.496008,0.51438,1.47036,1.59532,4.59248,4.57445,10.2128,10.4772,10.2128,10.9905
CG7420,8.03209,8.73744,6.72009,7.24761,5.99732,6.46928,5.16414,5.59259,5.2678,6.56551,5.2678,5.94823
CG18132,0,0,0,0,0,0,0.71692,0.71692,3.59536,2.35678,3.59536,3.59536
halo,0.137029,0.137006,0.0361781,0.0361781,0.038791,0.0387321,0.117664,0.117537,0.0553444,0.106037,0.0553444,0.0553012
Or22a,0.202261,0.199478,0.0402569,0.0441146,0.0517658,0.0378176,0.0522523,0.0572594,0.159934,0.0343804,0.159934,0.17526
Or22b,0.0878425,0.0878425,0.00874185,0.00874185,0,0,0.0378222,0.0378222,0.0935036,0.0510967,0.0935036,0.0935036
CG14351,14.8209,12.8241,25.0634,20.5727,19.7764,17.1855,10.8346,9.69272,10.6728,12.8872,10.6728,8.71859
CG10869,0,0,0,0,0,0,8.48352,8.91054,26.9291,22.4251,26.9291,28.3958
CG31935,3.41633,3.72183,3.31612,3.53699,2.59509,2.75646,5.34245,5.69681,15.0212,10.3489,15.0212,15.9898
CG14352,1.54037,1.6417,2.37935,2.58052,1.75329,1.89136,2.12242,2.22329,5.42257,4.67954,5.42257,5.54761
RFeSP,410.429,498.731,383.292,464.372,362.403,438.32,182.376,220.252,66.0696,122.181,66.0696,79.2417
chinmo,35.5792,33.1738,14.2494,14.334,9.81561,11.1187,3.5523,4.33919,5.87928,9.73174,5.87928,6.50875
cpb,27.6408,28.3491,43.943,45.4036,31.7175,32.3987,45.4685,46.8202,75.2459,63.7982,75.2459,77.854
CG17660,27.8651,27.6863,24.4668,24.5334,22.6383,23.1879,27.948,28.0491,34.1962,31.5732,34.1962,34.7492
mRpL48,77.1739,78.6867,89.8313,91.0424,59.8796,60.6158,15.9762,16.5487,17.8102,15.7552,17.8102,18.8389
frtz,4.5061,4.3713,3.71976,3.63974,2.63631,2.54108,3.06636,2.9637,5.53486,4.65058,5.53486,5.42141
CG18317,15.9902,16.3751,11.7725,11.6676,13.721,13.7357,13.817,13.7674,27.6166,19.0127,27.6166,27.0615
Eno,1091.11,1108.84,1268.34,1289.02,1401.28,1429.08,970.046,986.25,217.501,518.759,217.501,221.694
CG31937,45.0094,44.9295,64.0359,63.9223,73.2517,73.1217,55.7624,55.6634,26.408,32.3892,26.408,26.3612
CG17652,9.86164,11.3552,8.77692,9.83248,5.46182,6.22519,4.10396,4.83877,6.23414,4.87252,6.23414,7.19166
CG17646,16.2172,15.8317,14.0232,13.4229,16.63,16.0221,7.03809,5.49137,19.3159,9.31605,19.3159,15.4557
CG17712,9.3262,9.3262,9.98776,9.98776,5.90312,5.90312,9.05014,9.05014,16.4936,13.0976,16.4936,16.4936
CG17648,0.0285095,0.0285095,0.0453951,0.0453951,0.0486441,0.0486441,0.441911,0.441911,1.3526,1.01713,1.3526,1.3526
Gr22f,0.0113452,0.0126124,0,0,0,0,0.0586184,0.043444,0.207023,0.136947,0.207023,0.230147
CG17650,0.518595,0.635504,0.753944,0.90191,2.15441,2.59295,2.52416,2.95042,5.62303,3.94308,5.62303,6.65536
Gr22e,0.0612833,0.0612833,0,0,0.0209128,0.0209128,0,0,0.0149103,0,0.0149103,0.0149103
Gr22c,0,0,0,0,0,0,0,0,0.0151433,0,0.0151433,0.0151433
Gr22b,0,0,0.00983364,0.00983364,0,0,0,0,0,0.0191594,0,0
Gr22a,0.024203,0.024203,0.019269,0.019269,0,0,0,0,0.0147216,0,0.0147216,0.0147216
CG31933,0.00690765,0.00695455,0,0,0.0707167,0.0711969,1.85591,1.86851,3.22684,2.84794,3.22684,3.24875
CG31664,13.6981,14.6471,9.92457,10.2665,7.1669,7.5481,1.77124,1.89197,0.0958964,0.445189,0.0958964,0.120394
c-cup,0.0152556,0,0,0,0.156179,0.138042,3.23175,3.93634,11.1166,8.81607,11.1166,12.9916
CG31665,21.1978,20.5809,6.25883,6.10384,1.50733,1.43127,0.906935,0.868546,2.44736,1.90991,2.44736,2.42163
CG31663,17.7545,17.2633,7.9327,7.69152,6.01011,5.77176,4.59563,4.45239,4.23942,4.32694,4.23942,4.16293
CG7295,0,0,0,0,0,0,2.58308,2.58308,9.95491,6.8569,9.95491,9.95491
CG15358,0.0131321,0.0131321,0.04182,0.04182,0.201659,0.201659,0.429725,0.429725,0.0159754,0.12222,0.0159754,0.0159754
CG7337,19.1996,20.4543,12.9981,13.7549,14.3763,16.3628,8.39651,9.50877,21.4432,18.3949,21.4432,22.7611
tRNA:G3:22BCa,0,0,0,0,0,0,0,0,0,0,0,0
CG15357,0,0,0,0,0.0873857,0.100899,1.19079,1.32401,4.92201,4.08191,4.92201,5.57524
CG33673,0,0,0,0,0,0,0.902816,0.812188,2.33016,1.29674,2.33016,2.13826
CG31670,0.76843,0.764547,0.214829,0.208235,0.309406,0.317543,0.881525,0.874952,2.41935,1.81011,2.41935,2.39251
